Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,83.84,83.84,81.93,82.03,199500,82.03
2014-12-09,83.13,84.11,82.99,84.06,98600,84.06
2014-12-08,85.00,85.00,83.62,83.74,147500,83.74
2014-12-05,85.39,85.85,85.14,85.26,81600,85.26
2014-12-04,84.96,85.46,84.70,85.26,450000,85.26
2014-12-03,83.88,85.29,83.83,85.15,472900,85.15
2014-12-02,83.33,84.14,83.21,83.85,115300,83.85
2014-12-01,83.90,83.93,83.02,83.43,40400,83.43
2014-11-28,85.80,85.80,84.26,84.35,254300,84.35
2014-11-26,86.79,86.81,86.14,86.69,270700,86.69
2014-11-25,87.16,87.25,86.70,86.73,60900,86.73
2014-11-24,87.52,87.52,86.83,86.94,122600,86.94
2014-11-21,87.75,88.04,87.14,87.48,161700,87.48
2014-11-20,85.50,86.40,85.31,86.40,207900,86.40
2014-11-19,86.09,86.15,85.56,85.86,545900,85.86
2014-11-18,85.27,86.23,85.27,86.12,393500,86.12
2014-11-17,85.07,85.32,84.84,85.16,92900,85.16
2014-11-14,84.82,85.26,84.75,85.22,88900,85.22
2014-11-13,85.17,85.58,84.43,84.81,399700,84.81
2014-11-12,84.56,85.12,84.56,84.94,232700,84.94
2014-11-11,84.26,84.78,84.01,84.72,87100,84.72
2014-11-10,84.38,84.53,83.95,84.31,91900,84.31
2014-11-07,83.69,84.39,83.69,84.27,69000,84.27
2014-11-06,83.09,83.93,82.87,83.78,64800,83.78
2014-11-05,82.60,83.24,82.36,83.01,63100,83.01
2014-11-04,82.89,83.10,81.90,82.23,110700,82.23
2014-11-03,83.92,84.21,83.03,83.24,135900,83.24
2014-10-31,83.04,83.88,82.71,83.83,202700,83.83
2014-10-30,81.58,82.72,81.51,82.25,445800,82.25
2014-10-29,82.91,82.99,81.37,81.87,91400,81.87
2014-10-28,82.08,82.85,81.94,82.82,240200,82.82
2014-10-27,82.90,82.97,81.40,81.76,152000,81.76
2014-10-24,82.86,83.51,82.25,83.42,48600,83.42
2014-10-23,83.59,83.96,82.61,82.95,103900,82.95
2014-10-22,84.00,84.56,82.72,82.73,268700,82.73
2014-10-21,82.17,83.62,82.17,83.59,159000,83.59
2014-10-20,80.43,81.67,80.40,81.64,71200,81.64
2014-10-17,80.49,81.13,80.15,80.51,300600,80.51
2014-10-16,77.60,80.01,77.46,79.63,266200,79.63
2014-10-15,77.24,79.00,76.12,78.77,294900,78.77
2014-10-14,78.34,79.38,77.70,78.11,213600,78.11
2014-10-13,79.77,80.43,77.76,77.79,571600,77.79
2014-10-10,80.74,81.36,79.71,79.77,768200,79.77
2014-10-09,83.27,83.47,80.84,81.08,436900,81.08
2014-10-08,82.51,83.49,81.40,83.44,135400,83.44
2014-10-07,83.51,83.69,82.40,82.42,155300,82.42
2014-10-06,84.40,84.40,83.66,83.89,107200,83.89
2014-10-03,84.23,84.38,83.77,83.91,274200,83.91
2014-10-02,83.84,84.01,82.47,83.80,581700,83.80
2014-10-01,85.71,85.82,83.77,83.96,1350800,83.96
2014-09-30,87.18,87.18,85.93,86.07,453800,86.07
2014-09-29,86.81,87.36,86.68,87.07,67600,87.07
2014-09-26,86.88,87.67,86.80,87.57,41400,87.57
2014-09-25,88.00,88.00,86.78,86.78,51100,86.78
2014-09-24,87.78,88.34,87.39,88.27,129400,88.27
2014-09-23,88.34,88.48,87.83,87.83,75400,87.46
2014-09-22,89.10,89.25,88.32,88.43,53100,88.06
2014-09-19,89.33,89.46,88.57,88.75,63000,88.38
2014-09-18,88.79,89.05,88.77,88.95,57500,88.58
2014-09-17,88.36,88.88,88.14,88.48,88200,88.11
2014-09-16,87.09,88.08,87.09,87.85,106900,87.48
2014-09-15,87.16,87.43,86.96,87.23,35700,86.86
2014-09-12,87.52,87.73,86.85,87.15,431300,86.78
2014-09-11,87.25,87.72,87.20,87.57,118900,87.20
2014-09-10,87.58,87.68,86.92,87.62,61700,87.25
2014-09-09,88.29,88.29,87.44,87.56,25800,87.19
2014-09-08,88.64,88.91,88.27,88.39,296300,88.02
2014-09-05,88.19,88.83,88.19,88.83,34700,88.46
2014-09-04,88.82,89.13,88.33,88.52,188300,88.15
2014-09-03,88.85,88.95,88.54,88.59,260100,88.22
2014-09-02,88.78,88.78,88.24,88.39,540100,88.02
2014-08-29,88.82,88.87,88.50,88.72,568100,88.35
2014-08-28,88.16,88.65,88.08,88.53,1609600,88.16
2014-08-27,88.76,88.80,88.42,88.61,140200,88.24
2014-08-26,88.59,88.79,88.55,88.57,995500,88.20
2014-08-25,88.56,88.84,88.36,88.49,157700,88.12
2014-08-22,88.42,88.42,88.03,88.14,32000,87.77
2014-08-21,88.74,88.74,88.30,88.44,43000,88.07
2014-08-20,88.41,88.78,88.41,88.72,150000,88.35
2014-08-19,88.41,88.70,88.41,88.60,30800,88.23
2014-08-18,87.80,88.28,87.80,88.28,157400,87.91
2014-08-15,87.48,87.74,86.76,87.38,118000,87.01
2014-08-14,87.19,87.31,87.11,87.20,31500,86.83
2014-08-13,86.85,87.30,86.67,87.18,65200,86.81
2014-08-12,86.43,86.74,86.23,86.65,79200,86.29
2014-08-11,86.99,87.11,86.45,86.53,185900,86.17
2014-08-08,85.67,86.48,85.46,86.44,91500,86.08
2014-08-07,86.73,86.73,85.29,85.53,228400,85.17
2014-08-06,85.19,86.42,85.19,86.24,461000,85.88
2014-08-05,86.11,86.43,85.51,85.69,179800,85.33
2014-08-04,85.84,86.62,85.34,86.53,347400,86.17
2014-08-01,85.38,85.75,84.89,85.56,3040500,85.20
2014-07-31,86.61,86.73,85.45,85.47,110300,85.11
2014-07-30,88.06,88.14,87.10,87.17,1939700,86.80
2014-07-29,88.44,88.46,87.66,87.66,58000,87.29
2014-07-28,88.06,88.53,87.79,88.33,59000,87.96
2014-07-25,87.66,88.27,87.66,88.07,48200,87.70
2014-07-24,88.06,88.08,87.67,87.80,95600,87.43
2014-07-23,87.86,88.31,87.55,88.08,63400,87.71
2014-07-22,87.84,88.06,87.78,87.78,49500,87.41
2014-07-21,87.57,87.80,87.26,87.59,43300,87.22
2014-07-18,87.46,87.97,87.30,87.87,40700,87.50
2014-07-17,87.60,87.89,87.14,87.25,67500,86.88
2014-07-16,87.61,87.85,87.52,87.82,74200,87.45
2014-07-15,87.67,88.06,86.90,87.22,1184200,86.85
2014-07-14,87.64,87.77,87.36,87.45,377400,87.08
2014-07-11,87.31,87.56,87.12,87.47,75700,87.10
2014-07-10,86.96,87.75,86.92,87.30,124000,86.93
2014-07-09,87.79,87.96,87.59,87.82,85900,87.45
2014-07-08,87.68,87.73,87.31,87.57,374500,87.20
2014-07-07,88.41,88.42,87.69,87.89,747800,87.52
2014-07-03,88.25,88.73,88.19,88.72,685800,88.35
2014-07-02,87.76,88.23,87.76,87.95,695100,87.58
2014-07-01,87.65,88.14,87.51,87.74,1542000,87.37
2014-06-30,87.15,87.60,86.88,87.53,102900,87.16
2014-06-27,86.81,87.13,86.59,87.08,70700,86.72
2014-06-26,87.67,87.72,86.94,87.34,53400,86.97
2014-06-25,87.00,87.74,87.00,87.47,114900,87.10
2014-06-24,87.50,87.90,86.74,86.76,93000,86.40
2014-06-23,87.86,88.20,87.61,87.93,40500,87.26
2014-06-20,87.46,87.84,87.36,87.78,61800,87.12
2014-06-19,87.54,87.55,87.13,87.28,52100,86.62
2014-06-18,86.61,87.41,86.52,87.39,197000,86.73
2014-06-17,85.74,86.67,85.56,86.47,205500,85.82
2014-06-16,86.35,86.38,85.82,86.28,112600,85.63
2014-06-13,86.02,86.55,85.99,86.43,64100,85.78
2014-06-12,86.84,86.97,85.88,86.06,86700,85.41
2014-06-11,86.98,87.02,86.69,86.92,273200,86.26
2014-06-10,87.16,87.33,86.77,87.32,394400,86.66
2014-06-09,87.44,87.56,87.08,87.28,381300,86.62
2014-06-06,87.12,87.46,87.12,87.46,330600,86.80
2014-06-05,86.75,87.11,85.97,87.03,422000,86.37
2014-06-04,86.08,86.73,85.90,86.43,321600,85.78
2014-06-03,86.14,86.42,86.05,86.22,45400,85.57
2014-06-02,86.40,86.68,85.93,86.44,184200,85.79
2014-05-30,86.23,86.23,85.86,86.16,68500,85.51
2014-05-29,85.43,86.36,85.20,86.35,88000,85.70
2014-05-28,85.50,85.71,85.31,85.48,125200,84.83
2014-05-27,85.69,85.82,85.34,85.50,110000,84.85
2014-05-23,84.86,85.51,84.79,85.47,49800,84.82
2014-05-22,84.81,85.06,84.62,84.81,283700,84.17
2014-05-21,84.41,84.79,84.29,84.70,335800,84.06
2014-05-20,84.75,84.89,83.97,84.23,1513400,83.59
2014-05-19,84.35,85.16,84.25,84.78,279700,84.14
2014-05-16,83.83,84.39,83.43,84.39,450300,83.75
2014-05-15,85.06,85.06,83.48,84.05,624700,83.41
2014-05-14,85.25,85.70,85.16,85.26,296200,84.62
2014-05-13,85.39,85.65,85.23,85.30,290700,84.65
2014-05-12,84.52,85.33,84.52,85.25,73700,84.61
2014-05-09,83.97,84.14,83.57,84.02,59100,83.38
2014-05-08,84.36,84.90,83.76,84.05,105100,83.41
2014-05-07,84.07,84.54,83.52,84.50,89400,83.86
2014-05-06,84.06,84.32,83.69,83.87,56400,83.24
2014-05-05,83.74,84.34,83.49,84.25,70000,83.61
2014-05-02,83.58,84.38,83.50,83.96,43700,83.32
2014-05-01,83.69,83.85,83.31,83.53,99100,82.90
2014-04-30,83.17,83.96,83.17,83.91,50300,83.28
2014-04-29,82.80,83.58,82.80,83.33,128700,82.70
2014-04-28,83.20,83.21,82.02,82.64,104700,82.01
2014-04-25,83.32,83.56,82.78,83.01,60800,82.38
2014-04-24,84.32,84.39,83.45,83.63,95100,83.00
2014-04-23,84.04,84.25,83.91,84.01,68300,83.37
2014-04-22,83.82,84.23,83.60,84.00,60100,83.36
2014-04-21,83.71,83.93,83.47,83.75,58200,83.12
2014-04-17,83.50,83.82,83.35,83.64,111200,83.01
2014-04-16,82.83,83.48,82.60,83.44,147000,82.81
2014-04-15,81.89,82.29,80.92,82.23,129100,81.61
2014-04-14,81.71,82.19,81.37,81.89,87400,81.27
2014-04-11,81.66,82.24,81.20,81.26,225900,80.65
2014-04-10,83.83,83.87,82.07,82.19,334000,81.57
2014-04-09,82.95,84.09,82.75,83.90,89300,83.27
2014-04-08,82.36,83.01,82.09,82.69,50300,82.06
2014-04-07,83.48,83.61,81.99,82.28,114500,81.66
2014-04-04,85.01,85.28,83.45,83.56,50600,82.93
2014-04-03,84.62,85.01,84.26,84.57,104500,83.93
2014-04-02,84.07,84.60,83.63,84.41,323900,83.77
2014-04-01,83.65,83.84,83.24,83.83,339300,83.20
2014-03-31,82.85,83.35,82.72,83.27,81300,82.64
2014-03-28,82.23,82.81,82.11,82.40,52900,81.78
2014-03-27,82.09,82.27,81.58,81.96,39800,81.34
2014-03-26,83.67,83.78,82.14,82.14,51600,81.52
2014-03-25,83.26,83.83,83.10,83.38,67200,82.75
2014-03-24,83.86,84.25,82.82,83.14,50100,82.29
2014-03-21,83.98,84.21,83.61,83.78,67300,82.92
2014-03-20,82.63,83.33,82.63,83.29,44600,82.44
2014-03-19,83.51,83.73,82.52,82.95,142800,82.10
2014-03-18,83.12,83.68,83.07,83.58,136500,82.72
2014-03-17,82.75,83.48,82.75,83.00,156200,82.15
2014-03-14,82.25,82.72,82.25,82.39,52900,81.54
2014-03-13,83.14,83.47,82.05,82.21,122100,81.37
2014-03-12,82.75,83.12,82.58,82.95,74700,82.10
