Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,84.54,84.64,84.54,84.62,734300,84.62
2014-12-09,84.58,84.61,84.54,84.55,544800,84.55
2014-12-08,84.51,84.54,84.49,84.52,427400,84.52
2014-12-05,84.53,84.57,84.51,84.53,494200,84.53
2014-12-04,84.66,84.69,84.65,84.69,901400,84.69
2014-12-03,84.67,84.67,84.63,84.64,782100,84.64
2014-12-02,84.71,84.71,84.66,84.68,825100,84.68
2014-12-01,84.79,84.81,84.73,84.73,2475900,84.73
2014-11-28,84.78,84.78,84.75,84.76,319700,84.73
2014-11-26,84.72,84.76,84.72,84.73,840000,84.70
2014-11-25,84.70,84.74,84.69,84.72,472700,84.69
2014-11-24,84.66,84.71,84.66,84.71,1582100,84.68
2014-11-21,84.71,84.72,84.69,84.70,1048700,84.67
2014-11-20,84.70,84.71,84.66,84.68,723600,84.65
2014-11-19,84.63,84.70,84.63,84.66,962000,84.63
2014-11-18,84.69,84.69,84.66,84.67,23372000,84.64
2014-11-17,84.67,84.69,84.66,84.68,850000,84.65
2014-11-14,84.64,84.69,84.61,84.69,1064400,84.66
2014-11-13,84.63,84.66,84.63,84.65,746300,84.62
2014-11-12,84.63,84.66,84.61,84.63,894600,84.60
2014-11-11,84.58,84.71,84.57,84.60,580300,84.57
2014-11-10,84.67,84.69,84.61,84.61,1381700,84.58
2014-11-07,84.65,84.69,84.63,84.67,1389000,84.64
2014-11-06,84.61,84.64,84.60,84.61,815200,84.58
2014-11-05,84.64,84.64,84.62,84.63,1289700,84.60
2014-11-04,84.62,84.67,84.59,84.65,1177700,84.62
2014-11-03,84.72,84.72,84.61,84.66,14207300,84.63
2014-10-31,84.68,84.72,84.68,84.70,1770200,84.64
2014-10-30,84.71,84.75,84.70,84.72,1485800,84.66
2014-10-29,84.79,84.80,84.69,84.69,1452200,84.63
2014-10-28,84.82,84.84,84.79,84.80,738300,84.74
2014-10-27,84.80,84.84,84.80,84.82,919700,84.76
2014-10-24,84.79,84.83,84.79,84.82,1171400,84.76
2014-10-23,84.79,84.82,84.78,84.80,1081500,84.74
2014-10-22,84.82,84.84,84.81,84.84,1814100,84.78
2014-10-21,84.84,84.88,84.84,84.86,1356700,84.80
2014-10-20,84.84,84.88,84.84,84.88,1139800,84.82
2014-10-17,84.85,84.86,84.81,84.83,2035000,84.77
2014-10-16,84.95,84.96,84.86,84.88,27217300,84.82
2014-10-15,85.01,85.07,84.83,84.93,2526700,84.87
2014-10-14,84.81,84.84,84.79,84.82,2228800,84.76
2014-10-13,84.79,85.37,84.76,84.77,1239000,84.71
2014-10-10,84.71,84.74,84.69,84.74,629300,84.68
2014-10-09,84.69,84.72,84.68,84.70,623000,84.64
2014-10-08,84.60,84.71,84.59,84.70,1367200,84.64
2014-10-07,84.57,84.62,84.57,84.61,1333900,84.55
2014-10-06,84.54,84.58,84.51,84.56,841300,84.50
2014-10-03,84.51,84.52,84.47,84.48,2110100,84.42
2014-10-02,84.58,84.59,84.54,84.56,1828300,84.50
2014-10-01,84.55,84.60,84.53,84.57,20930800,84.51
2014-09-30,84.51,84.53,84.49,84.51,1508000,84.42
2014-09-29,84.53,84.54,84.51,84.53,533200,84.44
2014-09-26,84.53,84.53,84.48,84.51,1486300,84.42
2014-09-25,84.48,84.55,84.48,84.55,892400,84.46
2014-09-24,84.50,84.52,84.48,84.49,1455900,84.40
2014-09-23,84.48,84.52,84.48,84.52,745800,84.43
2014-09-22,84.47,84.50,84.46,84.50,332600,84.41
2014-09-19,84.43,84.46,84.42,84.44,425400,84.35
2014-09-18,84.42,84.45,84.41,84.45,419000,84.36
2014-09-17,84.47,84.58,84.43,84.44,541600,84.35
2014-09-16,84.50,84.53,84.47,84.53,1624100,84.44
2014-09-15,84.46,84.49,84.46,84.48,431000,84.39
2014-09-12,84.43,84.46,84.43,84.44,340600,84.35
2014-09-11,84.48,84.49,84.45,84.46,774800,84.37
2014-09-10,84.43,84.46,84.43,84.45,367900,84.36
2014-09-09,84.49,84.50,84.44,84.44,506900,84.35
2014-09-08,84.54,84.56,84.49,84.49,533300,84.40
2014-09-05,84.54,84.56,84.53,84.54,422000,84.45
2014-09-04,84.51,84.54,84.48,84.51,1702900,84.42
2014-09-03,84.50,84.53,84.49,84.52,741300,84.43
2014-09-02,84.54,84.55,84.50,84.50,13519800,84.41
2014-08-29,84.56,84.60,84.55,84.60,515700,84.48
2014-08-28,84.53,84.57,84.53,84.56,459100,84.44
2014-08-27,84.53,84.55,84.53,84.54,473300,84.42
2014-08-26,84.52,84.53,84.50,84.52,372100,84.40
2014-08-25,84.50,84.52,84.49,84.49,1146100,84.37
2014-08-22,84.52,84.56,84.50,84.52,758700,84.40
2014-08-21,84.53,84.58,84.53,84.54,720300,84.42
2014-08-20,84.60,84.60,84.53,84.54,668300,84.42
2014-08-19,84.63,84.63,84.60,84.62,1047000,84.50
2014-08-18,84.57,84.63,84.57,84.62,721600,84.50
2014-08-15,84.59,84.68,84.58,84.62,911200,84.50
2014-08-14,84.57,84.64,84.57,84.62,975800,84.50
2014-08-13,84.62,84.62,84.58,84.60,708500,84.48
2014-08-12,84.57,84.59,84.55,84.56,1587100,84.44
2014-08-11,84.58,84.59,84.56,84.56,1264700,84.44
2014-08-08,84.60,84.62,84.56,84.56,500400,84.44
2014-08-07,84.58,84.61,84.54,84.61,1129200,84.49
2014-08-06,84.56,84.59,84.55,84.57,949900,84.45
2014-08-05,84.52,84.57,84.52,84.55,1278200,84.43
2014-08-04,84.54,84.56,84.53,84.55,1419200,84.43
2014-08-01,84.47,84.56,84.47,84.55,19826500,84.43
2014-07-31,84.43,84.47,84.41,84.47,1446200,84.33
2014-07-30,84.43,84.43,84.38,84.43,1110200,84.29
2014-07-29,84.46,84.47,84.45,84.47,255200,84.33
2014-07-28,84.46,84.48,84.45,84.45,2286900,84.31
2014-07-25,84.49,84.50,84.47,84.49,2324500,84.35
2014-07-24,84.47,84.49,84.46,84.48,221200,84.34
2014-07-23,84.52,84.52,84.50,84.51,478400,84.37
2014-07-22,84.48,84.50,84.47,84.48,2456000,84.34
2014-07-21,84.52,84.52,84.47,84.48,2455200,84.34
2014-07-18,84.50,84.52,84.47,84.47,2316600,84.33
2014-07-17,84.50,84.54,84.48,84.54,2408500,84.40
2014-07-16,84.49,84.50,84.46,84.47,426700,84.33
2014-07-15,84.50,84.55,84.47,84.48,435700,84.34
2014-07-14,84.50,84.53,84.50,84.52,672900,84.38
2014-07-11,84.54,84.55,84.52,84.53,2614500,84.39
2014-07-10,84.50,84.54,84.50,84.51,466100,84.37
2014-07-09,84.44,84.49,84.40,84.47,380900,84.33
2014-07-08,84.45,84.47,84.43,84.46,627700,84.32
2014-07-07,84.41,84.44,84.41,84.44,506100,84.30
2014-07-03,84.44,84.46,84.42,84.46,492600,84.32
2014-07-02,84.46,84.50,84.46,84.47,594300,84.33
2014-07-01,84.54,84.54,84.50,84.50,542700,84.36
2014-06-30,84.55,84.57,84.54,84.56,1091800,84.39
2014-06-27,84.56,84.57,84.54,84.55,524900,84.38
2014-06-26,84.61,84.61,84.53,84.53,368700,84.36
2014-06-25,84.50,84.53,84.50,84.51,453700,84.34
2014-06-24,84.47,84.50,84.46,84.50,576000,84.33
2014-06-23,84.50,84.50,84.46,84.47,668600,84.30
2014-06-20,84.48,84.48,84.44,84.47,508700,84.30
2014-06-19,84.50,84.50,84.46,84.47,318700,84.30
2014-06-18,84.46,84.48,84.44,84.48,540100,84.31
2014-06-17,84.42,84.45,84.41,84.41,726900,84.24
2014-06-16,84.46,84.49,84.46,84.48,337700,84.31
2014-06-13,84.45,84.51,84.45,84.50,582100,84.33
2014-06-12,84.50,84.56,84.50,84.55,1129200,84.38
2014-06-11,84.51,84.52,84.50,84.52,288000,84.35
2014-06-10,84.66,84.66,84.49,84.49,662600,84.32
2014-06-09,84.52,84.54,84.51,84.51,586500,84.34
2014-06-06,84.58,84.60,84.55,84.57,733600,84.40
2014-06-05,84.56,84.60,84.56,84.59,1187800,84.42
2014-06-04,84.56,84.58,84.55,84.58,1034300,84.41
2014-06-03,84.56,84.58,84.55,84.55,411200,84.38
2014-06-02,84.60,84.61,84.56,84.57,978100,84.40
2014-05-30,84.63,84.66,84.62,84.65,895600,84.46
2014-05-29,84.65,84.68,84.63,84.63,1651000,84.44
2014-05-28,84.64,84.67,84.64,84.64,562000,84.45
2014-05-27,84.63,84.63,84.60,84.62,850200,84.43
2014-05-23,84.63,84.65,84.56,84.60,381500,84.41
2014-05-22,84.61,84.63,84.60,84.62,468300,84.43
2014-05-21,84.61,84.64,84.61,84.64,372800,84.45
2014-05-20,84.61,84.65,84.61,84.64,349900,84.45
2014-05-19,84.62,84.65,84.61,84.63,362200,84.44
2014-05-16,84.59,84.62,84.59,84.61,446600,84.42
2014-05-15,84.59,84.62,84.58,84.60,337200,84.41
2014-05-14,84.56,84.62,84.56,84.59,644600,84.40
2014-05-13,84.56,84.57,84.54,84.56,486500,84.37
2014-05-12,84.51,84.55,84.51,84.53,1001200,84.34
2014-05-09,84.47,84.55,84.47,84.55,361700,84.36
2014-05-08,84.52,84.55,84.50,84.52,729300,84.33
2014-05-07,84.46,84.52,84.46,84.50,645400,84.31
2014-05-06,84.47,84.48,84.46,84.47,432900,84.28
2014-05-05,84.49,84.50,84.47,84.50,1540800,84.31
2014-05-02,84.45,84.50,84.44,84.49,543100,84.30
2014-05-01,84.48,84.52,84.48,84.50,1141100,84.31
2014-04-30,84.50,84.52,84.50,84.52,484000,84.31
2014-04-29,84.48,84.48,84.46,84.46,401300,84.25
2014-04-28,84.47,84.50,84.47,84.47,280400,84.26
2014-04-25,84.48,84.50,84.47,84.47,270300,84.26
2014-04-24,84.45,84.49,84.45,84.46,979000,84.25
2014-04-23,84.48,84.50,84.47,84.48,553100,84.27
2014-04-22,84.46,84.47,84.44,84.44,543100,84.23
2014-04-21,84.46,84.48,84.45,84.48,592800,84.27
2014-04-17,84.49,84.50,84.45,84.48,2592700,84.27
2014-04-16,84.50,84.52,84.49,84.50,381100,84.29
2014-04-15,84.51,84.54,84.49,84.53,303500,84.32
2014-04-14,84.57,84.57,84.50,84.53,520300,84.32
2014-04-11,84.55,84.56,84.53,84.54,2225800,84.33
2014-04-10,84.52,84.56,84.51,84.55,731900,84.34
2014-04-09,84.45,84.52,84.42,84.50,939600,84.29
2014-04-08,84.46,84.47,84.44,84.46,455900,84.25
2014-04-07,84.44,84.47,84.44,84.45,423300,84.24
2014-04-04,84.42,84.44,84.40,84.44,726400,84.23
2014-04-03,84.35,84.38,84.35,84.37,2637400,84.16
2014-04-02,84.36,84.37,84.35,84.35,504800,84.14
2014-04-01,84.40,84.41,84.38,84.38,4107900,84.17
2014-03-31,84.39,84.45,84.38,84.45,1502200,84.22
2014-03-28,84.37,84.41,84.37,84.40,335900,84.17
2014-03-27,84.38,84.42,84.38,84.40,447800,84.17
2014-03-26,84.36,84.43,84.36,84.41,598400,84.18
2014-03-25,84.34,84.38,84.34,84.35,962000,84.12
2014-03-24,84.31,84.36,84.31,84.34,1761600,84.11
2014-03-21,84.37,84.39,84.35,84.38,452200,84.15
2014-03-20,84.36,84.38,84.35,84.37,826800,84.14
2014-03-19,84.49,84.51,84.33,84.36,567200,84.13
2014-03-18,84.49,84.51,84.48,84.50,317000,84.27
2014-03-17,84.50,84.51,84.47,84.48,659700,84.25
2014-03-14,84.54,84.54,84.51,84.51,1035600,84.28
2014-03-13,84.45,84.53,84.43,84.53,2012000,84.30
2014-03-12,84.49,84.49,84.47,84.48,342400,84.25
2014-03-11,84.46,84.47,84.44,84.45,337500,84.22
2014-03-10,84.43,84.47,84.43,84.45,450100,84.22
2014-03-07,84.44,84.48,84.44,84.44,807400,84.21
2014-03-06,84.50,84.52,84.49,84.50,1044400,84.27
2014-03-05,84.50,84.55,84.49,84.55,2176200,84.32
2014-03-04,84.55,84.55,84.51,84.52,49419100,84.29
2014-03-03,84.55,84.59,84.55,84.59,2587200,84.36
2014-02-28,84.55,84.57,84.53,84.56,2360500,84.31
2014-02-27,84.57,84.58,84.56,84.56,362600,84.31
2014-02-26,84.53,84.58,84.53,84.57,2079600,84.32
2014-02-25,84.53,84.55,84.52,84.53,666400,84.28
2014-02-24,84.52,84.54,84.51,84.54,1647600,84.29
2014-02-21,84.51,84.54,84.50,84.54,750300,84.29
2014-02-20,84.50,84.53,84.50,84.53,1012600,84.28
