Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,37.40,37.40,36.28,36.28,23700,36.28
2014-12-09,37.10,37.71,36.90,37.57,27300,37.57
2014-12-08,38.48,38.48,37.46,37.55,17100,37.55
2014-12-05,38.73,39.04,38.39,38.59,11100,38.59
2014-12-04,38.83,38.96,38.62,38.74,8300,38.74
2014-12-03,38.60,39.35,38.60,39.15,13500,39.15
2014-12-02,38.83,39.02,38.25,38.25,25400,38.25
2014-12-01,38.66,38.70,38.54,38.67,600,38.67
2014-11-28,40.41,40.41,39.45,39.50,7600,39.50
2014-11-26,41.37,41.37,40.90,40.92,14900,40.92
2014-11-25,41.01,41.21,40.95,41.13,7400,41.13
2014-11-24,41.27,41.27,40.81,40.92,40200,40.92
2014-11-21,40.86,41.25,40.78,41.08,69200,41.08
2014-11-20,38.89,39.56,38.87,39.54,30300,39.54
2014-11-19,39.89,39.89,39.18,39.29,84300,39.29
2014-11-18,40.54,40.54,40.13,40.13,17200,40.13
2014-11-17,40.84,40.84,40.34,40.52,8500,40.52
2014-11-14,39.98,40.75,39.96,40.72,13500,40.72
2014-11-13,40.58,40.86,40.09,40.23,34600,40.23
2014-11-12,40.80,41.14,40.48,40.60,56400,40.60
2014-11-11,40.71,40.88,40.60,40.82,9900,40.82
2014-11-10,42.13,42.25,41.18,41.21,21000,41.21
2014-11-07,41.35,42.02,41.35,41.94,8200,41.94
2014-11-06,41.07,41.29,40.99,41.07,30400,41.07
2014-11-05,41.56,41.73,41.20,41.55,20800,41.55
2014-11-04,42.25,42.25,41.14,41.52,10200,41.52
2014-11-03,42.79,42.79,42.26,42.32,13300,42.32
2014-10-31,42.23,43.01,41.96,43.00,12100,43.00
2014-10-30,41.97,42.28,41.74,42.13,13700,42.13
2014-10-29,43.33,43.54,42.13,42.44,16900,42.44
2014-10-28,42.32,43.19,42.32,43.12,11500,43.12
2014-10-27,42.28,42.28,41.82,41.99,18100,41.99
2014-10-24,42.61,43.21,42.61,43.14,10900,43.14
2014-10-23,42.20,42.78,42.15,42.44,11900,42.44
2014-10-22,42.33,42.57,42.02,42.02,14800,42.02
2014-10-21,41.94,42.58,41.94,42.51,13900,42.51
2014-10-20,41.47,41.80,41.43,41.80,15900,41.80
2014-10-17,41.88,42.22,41.58,41.79,19200,41.79
2014-10-16,40.66,41.89,40.66,41.53,27700,41.53
