Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,18.69,19.06,18.48,18.86,9148400,18.86
2014-12-09,18.47,18.90,18.41,18.53,6596900,18.53
2014-12-08,18.81,18.86,18.27,18.47,12974600,18.47
2014-12-05,18.98,19.47,18.85,19.34,11634100,19.34
2014-12-04,19.10,19.15,18.54,18.56,10815100,18.56
2014-12-03,19.41,19.59,19.14,19.36,10742800,19.36
2014-12-02,19.99,20.18,19.65,19.75,15059700,19.75
2014-12-01,20.28,20.59,20.01,20.46,19432300,20.46
2014-11-28,21.60,21.66,21.18,21.26,6264800,21.26
2014-11-26,22.48,23.06,22.10,22.11,14418400,22.11
2014-11-25,21.71,22.62,21.66,22.57,12172400,22.57
2014-11-24,21.62,21.99,21.58,21.85,14721300,21.85
2014-11-21,22.84,23.01,22.43,22.48,14375400,22.48
2014-11-20,23.38,23.73,22.51,23.51,21846800,23.51
2014-11-19,23.16,23.62,22.93,23.13,20735500,23.13
2014-11-18,22.26,22.70,21.76,22.27,15228000,22.27
2014-11-17,21.73,22.67,21.72,22.45,18654700,22.45
2014-11-14,20.97,21.32,20.61,21.30,10503700,21.30
2014-11-13,21.51,21.76,20.76,20.84,15968800,20.84
2014-11-12,21.93,22.10,21.73,21.79,8933800,21.79
2014-11-11,21.84,22.53,21.82,22.08,12801600,22.08
2014-11-10,23.12,23.30,22.21,22.45,13694600,22.45
2014-11-07,22.55,23.49,22.42,22.90,16966600,22.90
2014-11-06,21.83,23.30,21.51,23.16,21898200,23.16
2014-11-05,21.98,22.07,21.68,21.96,8763100,21.96
2014-11-04,21.30,21.85,21.21,21.74,13454500,21.74
2014-11-03,21.00,21.20,20.87,21.12,9999700,21.12
2014-10-31,20.40,20.57,20.08,20.28,7963800,20.28
2014-10-30,19.97,20.07,19.79,20.06,5183100,20.06
2014-10-29,19.74,20.13,19.65,19.84,11284400,19.84
2014-10-28,19.09,19.68,18.98,19.59,8399700,19.59
2014-10-27,19.03,19.28,18.95,19.01,6523300,19.01
2014-10-24,19.17,19.39,19.05,19.36,4228000,19.36
2014-10-23,19.41,19.70,19.21,19.52,12146100,19.52
2014-10-22,19.67,19.84,19.56,19.60,6636900,19.60
2014-10-21,19.67,19.91,19.57,19.88,5391200,19.88
2014-10-20,19.86,19.87,19.66,19.72,8496500,19.72
2014-10-17,20.22,20.27,19.94,20.22,5588600,20.22
2014-10-16,20.40,20.49,20.07,20.41,5981800,20.41
2014-10-15,20.25,20.47,20.18,20.42,5045100,20.42
2014-10-14,21.12,21.20,20.40,20.50,11541800,20.50
2014-10-13,20.67,21.05,20.67,20.97,5781900,20.97
2014-10-10,20.74,20.84,20.56,20.69,2733300,20.69
2014-10-09,20.59,21.13,20.45,20.74,10403400,20.74
2014-10-08,20.91,21.00,20.58,20.68,11063600,20.68
2014-10-07,20.92,21.27,20.91,21.13,5674300,21.13
2014-10-06,20.96,21.10,20.85,20.96,10173200,20.96
2014-10-03,21.23,21.70,21.21,21.63,4805500,21.63
2014-10-02,21.34,21.55,20.96,21.28,11107800,21.28
2014-10-01,22.24,22.28,21.54,21.56,6204100,21.56
2014-09-30,22.16,22.29,21.98,22.11,5892400,22.11
2014-09-29,21.77,22.32,21.72,22.08,10608900,22.08
2014-09-26,21.36,21.66,21.30,21.58,5480800,21.58
2014-09-25,21.04,21.54,20.76,21.49,6873500,21.49
2014-09-24,20.83,21.32,20.70,21.18,5064700,21.18
2014-09-23,21.12,21.22,20.74,20.82,3111900,20.82
2014-09-22,21.08,21.13,20.74,20.97,3374200,20.97
2014-09-19,21.01,21.10,20.92,20.95,6165300,20.95
2014-09-18,21.84,21.88,21.28,21.34,8030800,21.34
2014-09-17,21.86,21.95,21.79,21.87,2939600,21.87
2014-09-16,21.11,21.81,21.09,21.76,6765800,21.76
2014-09-15,21.42,21.53,21.28,21.40,6713800,21.40
2014-09-12,20.73,21.04,20.67,20.97,3679000,20.97
2014-09-11,21.19,21.45,20.76,20.96,11844500,20.96
2014-09-10,21.62,21.66,21.47,21.54,4013100,21.54
2014-09-09,21.74,21.84,21.62,21.65,10094400,21.65
2014-09-08,20.95,21.19,20.84,21.14,6874800,21.14
2014-09-05,20.82,20.93,20.62,20.76,3996900,20.76
2014-09-04,21.04,21.16,20.67,20.89,7407500,20.89
2014-09-03,21.10,21.14,20.89,21.02,6454500,21.02
2014-09-02,21.57,21.71,21.19,21.31,13253000,21.31
2014-08-29,21.90,22.27,21.89,22.26,3430900,22.26
2014-08-28,22.02,22.31,21.68,22.10,6120700,22.10
2014-08-27,21.86,21.98,21.45,21.88,7688000,21.88
2014-08-26,21.78,21.81,21.48,21.64,2487300,21.64
2014-08-25,21.61,21.73,21.54,21.72,7110400,21.72
2014-08-22,21.41,21.44,21.11,21.21,2151900,21.21
