Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,23.67,23.68,22.95,23.28,26181600,23.28
2014-12-09,23.87,24.32,23.74,24.20,12025400,24.20
2014-12-08,24.96,24.96,23.83,23.91,15275800,23.91
2014-12-05,25.15,25.24,24.73,24.96,11411900,24.96
2014-12-04,25.24,25.50,25.10,25.34,6911000,25.34
2014-12-03,25.64,25.89,25.35,25.58,12276800,25.58
2014-12-02,25.85,26.08,25.32,25.58,20382100,25.58
2014-12-01,25.04,26.37,25.04,26.32,4335500,26.32
2014-11-28,26.34,26.42,25.46,25.58,20256800,25.58
2014-11-26,27.97,28.18,27.85,27.90,14971500,27.90
2014-11-25,29.04,29.07,28.01,28.03,24788500,28.03
2014-11-24,28.90,29.23,28.65,28.74,8451700,28.74
2014-11-21,29.06,29.14,28.71,29.10,10808000,29.10
2014-11-20,28.51,28.81,28.38,28.73,7209700,28.73
2014-11-19,28.36,28.62,28.10,28.25,6732900,28.25
2014-11-18,28.48,28.55,28.19,28.20,7269600,28.20
2014-11-17,28.46,28.78,28.43,28.68,5791300,28.68
2014-11-14,28.41,28.95,28.29,28.83,7998900,28.83
2014-11-13,28.93,28.98,28.10,28.29,17638100,28.29
2014-11-12,29.24,29.57,29.08,29.14,6031000,29.14
2014-11-11,29.34,29.59,29.02,29.42,4859100,29.42
2014-11-10,30.17,30.17,29.27,29.34,7495600,29.34
2014-11-07,29.75,30.13,29.73,29.76,6585100,29.76
2014-11-06,29.47,29.69,29.26,29.60,6351700,29.60
2014-11-05,29.35,30.11,29.34,29.95,13851100,29.95
2014-11-04,29.31,29.37,28.89,29.30,12654700,29.30
2014-11-03,30.51,30.72,29.66,29.76,18894200,29.76
2014-10-31,30.24,30.65,30.19,30.63,4680900,30.63
2014-10-30,30.89,31.01,30.63,30.76,6003000,30.76
2014-10-29,31.18,31.45,31.00,31.23,7632900,31.23
2014-10-28,30.69,30.92,30.57,30.82,4078000,30.82
2014-10-27,30.29,30.77,30.16,30.64,5203300,30.64
2014-10-24,30.80,30.89,30.50,30.88,5649300,30.88
2014-10-23,30.90,31.26,30.77,31.06,7258800,31.06
2014-10-22,31.47,31.50,30.46,30.55,8602000,30.55
2014-10-21,31.42,31.60,30.97,31.30,5778500,31.30
2014-10-20,31.09,31.24,30.66,31.14,6050400,31.14
2014-10-17,31.33,31.63,31.03,31.25,7509000,31.25
2014-10-16,30.36,31.91,30.20,31.10,19073500,31.10
2014-10-15,30.69,31.01,30.34,30.67,14628300,30.67
2014-10-14,31.91,31.92,30.63,30.85,15403700,30.85
2014-10-13,32.04,32.32,31.71,31.99,5086800,31.99
2014-10-10,32.13,32.48,31.74,32.18,7599200,32.18
2014-10-09,32.65,32.73,32.01,32.11,7915300,32.11
2014-10-08,33.07,33.09,32.69,33.00,7458500,33.00
2014-10-07,33.79,33.81,33.36,33.44,4323800,33.44
2014-10-06,33.77,34.15,33.41,34.04,4541400,34.04
2014-10-03,34.17,34.26,33.64,33.77,6582300,33.77
2014-10-02,33.76,34.42,33.64,34.37,8464700,34.37
2014-10-01,34.60,34.98,34.05,34.15,6886000,34.15
2014-09-30,35.43,35.48,34.20,34.41,11592100,34.41
2014-09-29,35.00,35.62,34.98,35.52,3333500,35.52
2014-09-26,34.91,35.32,34.84,35.16,3034600,35.16
2014-09-25,35.08,35.13,34.65,34.83,4266400,34.83
2014-09-24,34.53,35.11,34.31,35.00,6149100,35.00
2014-09-23,34.28,34.66,34.18,34.44,2732700,34.44
2014-09-22,34.41,34.46,34.03,34.19,3948400,34.19
2014-09-19,34.51,34.72,34.32,34.57,3403000,34.57
2014-09-18,35.18,35.19,34.56,34.62,4312500,34.62
2014-09-17,35.24,35.37,34.91,35.01,5156200,35.01
2014-09-16,34.81,35.42,34.77,35.25,5173800,35.25
2014-09-15,34.22,34.66,34.19,34.56,3201000,34.56
2014-09-12,34.59,34.80,34.30,34.38,4112900,34.38
2014-09-11,33.95,34.81,33.91,34.69,8150600,34.69
2014-09-10,34.42,34.43,34.02,34.26,5094100,34.26
2014-09-09,34.76,34.82,34.51,34.62,2105100,34.62
2014-09-08,34.29,34.70,34.27,34.70,2855200,34.70
2014-09-05,35.27,35.28,34.66,34.90,4543700,34.90
2014-09-04,35.38,35.55,35.14,35.30,3533500,35.30
2014-09-03,35.13,35.76,35.01,35.55,4412000,35.55
2014-09-02,35.28,35.41,34.60,34.79,6031100,34.79
2014-08-29,35.58,35.83,35.48,35.76,3182000,35.76
2014-08-28,35.26,35.34,35.04,35.32,2554200,35.32
2014-08-27,35.03,35.17,34.85,35.03,2540500,35.03
2014-08-26,35.10,35.21,34.85,35.04,3030200,35.04
2014-08-25,34.80,34.96,34.74,34.87,3334200,34.87
2014-08-22,34.83,35.03,34.70,34.96,3906400,34.96
2014-08-21,34.90,35.26,34.87,35.09,3888100,35.09
2014-08-20,34.88,34.93,34.69,34.86,3178800,34.86
2014-08-19,35.02,35.06,34.58,34.71,4028500,34.71
2014-08-18,35.11,35.14,34.88,35.06,2778100,35.06
2014-08-15,35.17,35.61,35.13,35.44,5321600,35.44
2014-08-14,35.84,35.86,35.04,35.11,7901200,35.11
2014-08-13,36.04,36.17,35.78,36.02,2443700,36.02
2014-08-12,35.96,36.13,35.81,35.99,2885500,35.99
2014-08-11,36.23,36.46,36.19,36.22,1886200,36.22
2014-08-08,36.22,36.26,35.98,36.12,2253900,36.12
2014-08-07,35.97,36.21,35.82,36.16,2356700,36.16
2014-08-06,36.24,36.35,35.83,35.95,5175700,35.95
2014-08-05,36.33,36.35,35.95,36.16,3289700,36.16
2014-08-04,36.20,36.56,36.19,36.48,2421600,36.48
2014-08-01,36.12,36.30,35.98,36.19,4284100,36.19
2014-07-31,36.89,36.95,36.27,36.32,4778500,36.32
2014-07-30,37.59,37.68,36.85,36.92,5005500,36.92
2014-07-29,37.28,37.52,37.20,37.39,2709200,37.39
2014-07-28,37.52,37.81,37.39,37.64,2189500,37.64
2014-07-25,37.51,38.00,37.42,37.77,2727700,37.77
2014-07-24,38.18,38.21,37.76,37.82,2746500,37.82
2014-07-23,38.05,38.30,37.99,38.16,2257500,38.16
2014-07-22,38.07,38.07,37.86,37.95,1485900,37.95
2014-07-21,37.84,38.16,37.77,38.10,3468600,38.10
2014-07-18,37.79,37.90,37.67,37.72,3368400,37.72
2014-07-17,37.84,37.91,37.48,37.83,6476600,37.83
2014-07-16,37.08,37.39,37.07,37.31,4183900,37.31
2014-07-15,36.84,36.94,36.58,36.88,4427000,36.88
2014-07-14,37.06,37.35,36.96,37.32,6182100,37.32
2014-07-11,37.57,37.65,37.04,37.16,4947100,37.16
2014-07-10,37.63,37.99,37.59,37.90,3672300,37.90
2014-07-09,37.89,37.91,37.62,37.69,5838100,37.69
2014-07-08,38.26,38.42,37.98,38.18,2418100,38.18
