Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,33.05,33.28,32.33,32.36,5089000,32.36
2014-12-09,32.89,33.21,32.72,33.19,2585400,33.19
2014-12-08,33.16,33.42,32.98,33.10,2380300,33.10
2014-12-05,33.13,33.42,33.10,33.26,1925900,33.26
2014-12-04,33.21,33.34,33.06,33.19,2201300,33.19
2014-12-03,33.27,33.58,33.14,33.35,2049300,33.35
2014-12-02,33.15,33.33,33.12,33.22,1249200,33.22
2014-12-01,33.35,33.35,33.04,33.11,608200,33.11
2014-11-28,33.28,33.63,33.26,33.47,3266500,33.47
2014-11-26,33.37,33.54,33.18,33.33,1961200,33.33
2014-11-25,33.62,33.85,33.31,33.50,4218300,33.50
2014-11-24,33.32,33.65,33.32,33.60,2604100,33.60
2014-11-21,33.48,33.53,33.23,33.27,4629200,33.27
2014-11-20,32.36,33.26,32.27,33.10,4428400,33.10
2014-11-19,32.49,32.50,32.11,32.41,2055900,32.41
2014-11-18,32.09,32.39,32.08,32.25,1497300,32.25
2014-11-17,32.34,32.34,32.10,32.17,1877600,32.17
2014-11-14,32.22,32.36,32.11,32.27,1254800,32.27
2014-11-13,32.30,32.45,32.10,32.20,1335200,32.20
2014-11-12,32.15,32.34,32.01,32.30,1469000,32.30
2014-11-11,31.88,32.32,31.87,32.31,3521000,32.31
2014-11-10,32.08,32.14,31.86,31.93,4315300,31.93
2014-11-07,31.63,31.90,31.57,31.82,3080100,31.82
2014-11-06,31.15,31.76,31.15,31.71,4844300,31.71
2014-11-05,31.30,31.41,31.02,31.13,2448000,31.13
2014-11-04,31.14,31.27,30.87,31.03,2478300,31.03
2014-11-03,31.25,31.32,30.96,31.28,5783600,31.28
2014-10-31,31.30,31.43,31.00,31.13,3777900,31.13
2014-10-30,30.85,31.11,30.52,31.02,3052600,31.02
2014-10-29,31.03,31.22,30.51,30.75,7971800,30.75
2014-10-28,30.81,31.13,30.60,31.10,6897200,31.10
2014-10-27,30.65,30.76,30.39,30.76,2439200,30.76
2014-10-24,30.77,30.79,30.41,30.76,4468000,30.76
2014-10-23,30.51,30.96,30.32,30.69,5317300,30.69
2014-10-22,30.29,30.63,30.19,30.22,3852200,30.22
2014-10-21,30.05,30.56,30.03,30.49,5238900,30.49
2014-10-20,29.42,30.01,29.25,29.99,6737000,29.99
