Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,48.91,48.96,47.98,48.10,7521300,48.10
2014-12-09,48.72,49.14,48.52,49.11,6023400,49.11
2014-12-08,49.71,49.72,48.91,48.98,5466800,48.98
2014-12-05,49.80,50.11,49.68,49.77,3361100,49.77
2014-12-04,49.53,49.93,49.49,49.81,3377900,49.81
2014-12-03,49.05,49.73,48.93,49.66,7318800,49.66
2014-12-02,48.65,49.05,48.54,48.94,5918000,48.94
2014-12-01,49.04,49.17,48.40,48.65,1538500,48.65
2014-11-28,49.81,49.86,49.05,49.16,4867700,49.16
2014-11-26,50.11,50.33,49.92,50.30,1881000,50.30
2014-11-25,50.45,50.60,50.22,50.26,2406400,50.26
2014-11-24,50.75,50.75,50.36,50.44,2141900,50.44
2014-11-21,50.70,51.01,50.48,50.67,9559200,50.67
2014-11-20,49.55,50.06,49.40,50.06,3858500,50.06
2014-11-19,49.83,49.96,49.63,49.80,4840900,49.80
2014-11-18,49.29,49.91,49.29,49.87,5001500,49.87
2014-11-17,49.25,49.34,49.10,49.28,2627100,49.28
2014-11-14,49.20,49.39,49.08,49.29,3168700,49.29
2014-11-13,49.18,49.53,48.87,49.14,4119300,49.14
2014-11-12,48.97,49.25,48.90,49.13,3843900,49.13
2014-11-11,48.75,49.05,48.69,49.01,3610200,49.01
2014-11-10,48.62,48.80,48.50,48.77,3615200,48.77
2014-11-07,48.46,48.72,48.43,48.64,5102500,48.64
2014-11-06,47.86,48.51,47.86,48.41,3826500,48.41
2014-11-05,47.66,48.11,47.63,48.02,6115900,48.02
2014-11-04,47.93,48.04,47.34,47.56,13038100,47.56
2014-11-03,48.42,48.60,47.89,48.06,20828200,48.06
2014-10-31,47.91,48.42,47.74,48.40,8402600,48.40
2014-10-30,46.97,47.76,46.97,47.51,6682000,47.51
2014-10-29,47.73,47.80,46.83,47.15,23906900,47.15
2014-10-28,47.57,47.78,47.38,47.74,7590300,47.74
2014-10-27,47.85,47.95,47.08,47.27,35143400,47.27
2014-10-24,48.01,48.33,47.57,48.28,6700300,48.28
2014-10-23,48.31,48.45,47.79,47.92,29946800,47.92
2014-10-22,48.70,48.80,47.93,47.96,9213200,47.96
2014-10-21,47.61,48.42,47.60,48.35,7131800,48.35
2014-10-20,46.52,47.36,46.33,47.33,17191300,47.33
2014-10-17,46.50,46.97,46.40,46.62,11148700,46.62
2014-10-16,44.76,46.27,44.68,46.01,20220500,46.01
2014-10-15,44.43,45.75,44.09,45.56,18955400,45.56
2014-10-14,45.41,45.90,44.95,45.25,11001300,45.25
2014-10-13,46.25,46.64,45.04,45.11,16575300,45.11
2014-10-10,47.03,47.20,46.29,46.30,15178700,46.30
2014-10-09,48.20,48.22,46.87,47.02,14628200,47.02
2014-10-08,47.58,48.27,47.05,48.20,10523400,48.20
2014-10-07,48.29,48.29,47.57,47.58,6060700,47.58
2014-10-06,48.63,48.75,48.27,48.43,4787400,48.43
2014-10-03,48.58,48.69,48.36,48.44,5443100,48.44
2014-10-02,48.31,48.43,47.63,48.30,9073500,48.30
2014-10-01,49.50,49.50,48.30,48.42,11288100,48.42
2014-09-30,50.14,50.23,49.50,49.59,7832900,49.59
2014-09-29,50.17,50.33,49.86,50.19,9104000,50.19
2014-09-26,49.95,50.45,49.91,50.40,4727500,50.40
2014-09-25,50.49,50.51,49.91,49.91,4705000,49.91
2014-09-24,50.19,50.73,50.13,50.68,4279100,50.68
2014-09-23,50.37,50.46,50.14,50.16,2965500,50.16
2014-09-22,50.71,50.86,50.38,50.42,3837200,50.42
2014-09-19,50.66,50.83,50.35,50.44,6075500,50.44
2014-09-18,50.55,50.77,50.50,50.69,4484900,50.46
2014-09-17,50.32,50.62,50.15,50.35,5159900,50.12
2014-09-16,49.70,50.26,49.66,50.05,3317500,49.82
2014-09-15,49.79,49.95,49.57,49.82,3191000,49.59
2014-09-12,49.93,50.07,49.56,49.75,3883000,49.52
2014-09-11,49.82,50.09,49.79,49.98,4262700,49.75
2014-09-10,49.96,50.08,49.61,50.05,6364000,49.82
2014-09-09,50.40,50.41,49.94,50.05,3160500,49.82
