Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,24.81,24.89,24.52,24.56,51637600,24.56
2014-12-09,24.62,24.88,24.55,24.88,45097900,24.88
2014-12-08,24.79,25.07,24.78,24.94,42915600,24.94
2014-12-05,24.73,24.91,24.70,24.82,30203400,24.82
2014-12-04,24.54,24.63,24.44,24.60,16992800,24.60
2014-12-03,24.48,24.59,24.43,24.57,14403400,24.57
2014-12-02,24.21,24.48,24.21,24.46,21679500,24.46
2014-12-01,24.27,24.33,24.18,24.22,1684100,24.22
2014-11-28,24.40,24.51,24.37,24.40,7816000,24.40
2014-11-26,24.35,24.39,24.32,24.38,8747800,24.38
2014-11-25,24.42,24.42,24.27,24.35,23434500,24.35
2014-11-24,24.29,24.43,24.28,24.37,18715000,24.37
2014-11-21,24.36,24.36,24.18,24.21,20397300,24.21
2014-11-20,23.97,24.12,23.93,24.09,16082200,24.09
2014-11-19,24.10,24.13,23.99,24.09,22066200,24.09
2014-11-18,24.05,24.22,24.04,24.14,12683200,24.14
2014-11-17,23.99,24.09,23.97,24.06,16171300,24.06
2014-11-14,24.13,24.18,24.03,24.06,11431500,24.06
2014-11-13,24.17,24.22,24.04,24.14,29352800,24.14
2014-11-12,24.12,24.18,24.06,24.15,18723000,24.15
2014-11-11,24.29,24.31,24.20,24.20,38722200,24.20
2014-11-10,24.15,24.28,24.12,24.28,30532000,24.28
2014-11-07,24.15,24.21,24.03,24.15,28805600,24.15
2014-11-06,24.06,24.15,23.99,24.14,26963900,24.14
2014-11-05,24.15,24.15,23.96,24.10,24624500,24.10
2014-11-04,23.84,23.95,23.75,23.94,29814400,23.94
2014-11-03,23.90,23.99,23.83,23.93,49459800,23.93
2014-10-31,23.84,23.87,23.74,23.84,38082800,23.84
2014-10-30,23.42,23.68,23.35,23.57,34052500,23.57
2014-10-29,23.42,23.48,23.26,23.44,45192400,23.44
2014-10-28,23.19,23.39,23.19,23.38,36210400,23.38
2014-10-27,23.02,23.14,22.98,23.13,22198200,23.13
2014-10-24,22.92,23.11,22.88,23.10,26620800,23.10
2014-10-23,22.92,23.03,22.84,22.88,80887500,22.88
2014-10-22,22.91,22.93,22.66,22.66,46207000,22.66
2014-10-21,22.65,22.90,22.59,22.87,51168600,22.87
2014-10-20,22.27,22.47,22.27,22.45,49500200,22.45
2014-10-17,22.33,22.43,22.17,22.32,53449800,22.32
2014-10-16,21.66,22.21,21.64,22.04,82369900,22.04
2014-10-15,22.15,22.26,21.55,22.04,109183800,22.04
2014-10-14,22.44,22.65,22.37,22.47,63424000,22.47
2014-10-13,22.59,22.73,22.36,22.38,57354900,22.38
2014-10-10,22.71,22.97,22.57,22.58,61921400,22.58
2014-10-09,23.23,23.23,22.74,22.76,89584000,22.76
2014-10-08,22.83,23.25,22.76,23.25,58755400,23.25
2014-10-07,23.15,23.15,22.81,22.82,51258900,22.82
2014-10-06,23.44,23.44,23.18,23.21,33144600,23.21
2014-10-03,23.16,23.32,23.08,23.28,50440600,23.28
2014-10-02,22.90,23.04,22.74,22.95,56466100,22.95
2014-10-01,23.12,23.17,22.85,22.89,51387400,22.89
2014-09-30,23.26,23.31,23.12,23.17,33087400,23.17
2014-09-29,23.06,23.26,23.05,23.21,38330600,23.21
2014-09-26,23.14,23.35,23.10,23.29,39952900,23.29
2014-09-25,23.38,23.42,23.07,23.07,54148500,23.07
2014-09-24,23.38,23.47,23.28,23.46,35970100,23.46
2014-09-23,23.44,23.56,23.32,23.33,32435000,23.33
2014-09-22,23.60,23.66,23.46,23.49,32311200,23.49
2014-09-19,23.84,23.88,23.59,23.65,50520400,23.65
2014-09-18,23.70,23.87,23.67,23.81,51710600,23.71
2014-09-17,23.53,23.71,23.45,23.58,44589200,23.48
2014-09-16,23.32,23.53,23.31,23.48,31966200,23.38
2014-09-15,23.39,23.44,23.31,23.38,20872700,23.28
2014-09-12,23.41,23.50,23.30,23.39,34926800,23.29
2014-09-11,23.27,23.43,23.25,23.41,29772900,23.31
2014-09-10,23.24,23.38,23.24,23.35,31329900,23.25
2014-09-09,23.42,23.42,23.19,23.23,31217400,23.13
2014-09-08,23.44,23.56,23.39,23.47,21735100,23.37
2014-09-05,23.40,23.47,23.26,23.46,24374700,23.36
2014-09-04,23.43,23.58,23.35,23.43,25303700,23.33
2014-09-03,23.54,23.56,23.36,23.41,19619600,23.31
2014-09-02,23.43,23.47,23.32,23.45,29530800,23.35
2014-08-29,23.32,23.39,23.26,23.36,22748400,23.26
2014-08-28,23.21,23.28,23.16,23.25,20999200,23.15
2014-08-27,23.43,23.43,23.28,23.32,17696300,23.22
2014-08-26,23.30,23.44,23.29,23.37,13823500,23.27
2014-08-25,23.23,23.39,23.23,23.32,27533000,23.22
2014-08-22,23.20,23.26,23.09,23.12,24652600,23.02
2014-08-21,22.98,23.24,22.94,23.20,37392700,23.10
2014-08-20,22.83,23.01,22.80,22.93,26540600,22.84
2014-08-19,22.88,22.93,22.85,22.87,20205400,22.78
2014-08-18,22.69,22.85,22.68,22.83,25114400,22.74
2014-08-15,22.79,22.79,22.45,22.58,39796000,22.49
2014-08-14,22.58,22.69,22.57,22.69,21900300,22.60
2014-08-13,22.50,22.60,22.48,22.55,22635500,22.46
2014-08-12,22.33,22.51,22.33,22.45,21997600,22.36
2014-08-11,22.42,22.50,22.38,22.40,22778700,22.31
2014-08-08,22.15,22.39,22.10,22.38,51165800,22.29
2014-08-07,22.36,22.41,22.10,22.16,39808600,22.07
2014-08-06,22.10,22.38,22.10,22.26,37071900,22.17
2014-08-05,22.29,22.36,22.08,22.17,39905000,22.08
2014-08-04,22.30,22.43,22.20,22.40,26183700,22.31
2014-08-01,22.35,22.44,22.12,22.22,49566400,22.13
2014-07-31,22.72,22.78,22.40,22.41,50218400,22.32
2014-07-30,22.87,22.97,22.74,22.88,39822100,22.79
2014-07-29,22.93,22.99,22.77,22.78,28430100,22.69
2014-07-28,22.87,22.96,22.75,22.90,42169800,22.81
2014-07-25,22.93,23.00,22.87,22.89,36312200,22.80
2014-07-24,23.03,23.06,22.98,23.02,20409400,22.93
2014-07-23,22.93,23.01,22.89,22.97,14318300,22.88
2014-07-22,22.91,22.96,22.87,22.92,12997200,22.83
2014-07-21,22.79,22.88,22.75,22.85,14837800,22.76
2014-07-18,22.72,22.93,22.72,22.91,20981300,22.82
2014-07-17,22.84,22.94,22.63,22.65,34146500,22.56
2014-07-16,23.01,23.04,22.88,22.95,26670600,22.86
2014-07-15,22.95,23.04,22.87,22.99,29505600,22.90
2014-07-14,22.91,22.92,22.80,22.83,21337200,22.74
2014-07-11,22.62,22.71,22.51,22.69,21204200,22.60
2014-07-10,22.55,22.72,22.46,22.65,25844500,22.56
2014-07-09,22.77,22.82,22.72,22.80,19407600,22.71
2014-07-08,22.90,22.92,22.69,22.74,34309000,22.65
2014-07-07,23.01,23.01,22.87,22.94,24710800,22.85
2014-07-03,23.02,23.07,22.97,23.04,22116900,22.95
2014-07-02,22.87,22.95,22.85,22.86,17639700,22.77
2014-07-01,22.79,22.98,22.79,22.88,28370700,22.79
2014-06-30,22.71,22.78,22.68,22.74,37355400,22.65
2014-06-27,22.60,22.76,22.60,22.76,17942700,22.67
2014-06-26,22.72,22.75,22.50,22.67,26728500,22.58
2014-06-25,22.62,22.78,22.60,22.75,25683900,22.66
2014-06-24,22.83,22.93,22.70,22.73,22551800,22.64
2014-06-23,22.83,22.90,22.75,22.88,19410200,22.79
2014-06-20,22.84,22.86,22.76,22.83,24913900,22.74
2014-06-19,22.87,22.89,22.75,22.83,23105700,22.65
2014-06-18,22.72,22.90,22.63,22.86,30971400,22.68
2014-06-17,22.47,22.75,22.46,22.73,24450400,22.55
2014-06-16,22.57,22.57,22.44,22.50,33904400,22.32
2014-06-13,22.66,22.71,22.54,22.61,27967900,22.43
2014-06-12,22.73,22.74,22.56,22.60,30051800,22.42
2014-06-11,22.80,22.81,22.67,22.74,20569000,22.56
2014-06-10,22.84,22.89,22.80,22.89,21568600,22.71
2014-06-09,22.81,22.93,22.79,22.90,32282400,22.72
2014-06-06,22.71,22.83,22.67,22.80,29856700,22.62
2014-06-05,22.48,22.66,22.38,22.65,31034500,22.47
2014-06-04,22.31,22.46,22.31,22.44,19562700,22.26
2014-06-03,22.29,22.38,22.25,22.38,15683800,22.20
2014-06-02,22.31,22.37,22.20,22.35,20294700,22.17
2014-05-30,22.19,22.31,22.18,22.29,27231200,22.11
2014-05-29,22.24,22.26,22.14,22.24,14915800,22.06
2014-05-28,22.18,22.25,22.14,22.19,32857900,22.01
2014-05-27,22.09,22.32,22.09,22.23,23107200,22.05
2014-05-23,22.00,22.05,21.95,22.04,16558400,21.86
2014-05-22,21.90,22.01,21.84,21.97,18322700,21.79
2014-05-21,21.81,21.96,21.80,21.87,31726900,21.69
2014-05-20,21.82,21.87,21.65,21.73,19496800,21.56
2014-05-19,21.69,21.88,21.68,21.86,20044500,21.68
2014-05-16,21.73,21.75,21.58,21.75,33473600,21.58
2014-05-15,21.87,21.90,21.56,21.72,39811900,21.55
2014-05-14,22.11,22.13,21.93,21.97,25534300,21.79
2014-05-13,22.16,22.22,22.10,22.13,23549400,21.95
2014-05-12,22.04,22.16,21.99,22.15,20831100,21.97
2014-05-09,21.93,21.96,21.79,21.93,23861100,21.75
2014-05-08,21.85,22.06,21.85,21.94,29129400,21.76
2014-05-07,21.70,21.90,21.64,21.88,40951600,21.70
2014-05-06,21.84,21.84,21.59,21.59,60037600,21.42
2014-05-05,21.79,21.92,21.71,21.90,18851500,21.72
2014-05-02,22.01,22.19,21.94,21.99,28107400,21.81
2014-05-01,21.96,22.03,21.89,22.00,27307500,21.82
2014-04-30,21.87,22.01,21.85,21.96,37997000,21.78
2014-04-29,21.77,21.94,21.75,21.93,27767800,21.75
2014-04-28,21.85,21.91,21.51,21.72,43922800,21.55
2014-04-25,21.98,22.00,21.81,21.85,28599300,21.67
2014-04-24,22.14,22.14,21.94,22.03,29990900,21.85
2014-04-23,21.97,22.06,21.94,22.04,26155700,21.86
2014-04-22,21.87,22.05,21.79,21.99,26834100,21.81
2014-04-21,21.87,21.89,21.79,21.84,30612200,21.66
2014-04-17,21.85,21.91,21.75,21.86,47892800,21.68
2014-04-16,21.75,21.83,21.62,21.82,40100000,21.64
2014-04-15,21.50,21.69,21.34,21.65,84366400,21.48
2014-04-14,21.53,21.56,21.23,21.45,56253200,21.28
2014-04-11,21.29,21.54,21.19,21.28,79651400,21.11
2014-04-10,22.07,22.07,21.53,21.54,76733300,21.37
2014-04-09,21.93,22.07,21.82,22.05,36480200,21.87
2014-04-08,21.85,21.91,21.68,21.86,45727600,21.68
2014-04-07,22.15,22.16,21.81,21.83,59217800,21.65
2014-04-04,22.51,22.56,22.15,22.17,48905200,21.99
2014-04-03,22.45,22.48,22.32,22.39,37877200,22.21
2014-04-02,22.40,22.48,22.36,22.43,36202500,22.25
2014-04-01,22.40,22.45,22.32,22.38,41959200,22.20
2014-03-31,22.27,22.41,22.25,22.34,33345700,22.16
2014-03-28,22.08,22.25,22.03,22.11,39742300,21.93
2014-03-27,22.09,22.19,21.90,22.02,65807500,21.84
2014-03-26,22.50,22.51,22.14,22.14,50776500,21.96
2014-03-25,22.46,22.50,22.26,22.37,34197000,22.19
2014-03-24,22.47,22.53,22.26,22.39,55642800,22.21
2014-03-21,22.55,22.65,22.37,22.40,67182800,22.22
2014-03-20,22.09,22.53,22.09,22.48,91157000,22.22
2014-03-19,22.16,22.29,21.97,22.13,56841100,21.87
2014-03-18,22.09,22.16,22.05,22.14,35871800,21.88
2014-03-17,21.98,22.11,21.96,22.03,37643100,21.77
2014-03-14,21.86,22.04,21.78,21.80,44219300,21.54
2014-03-13,22.26,22.29,21.89,21.94,56958700,21.68
2014-03-12,22.09,22.20,22.03,22.19,31940900,21.93
2014-03-11,22.41,22.43,22.18,22.23,45148700,21.97
2014-03-10,22.32,22.50,22.24,22.38,23616200,22.12
2014-03-07,22.41,22.49,22.28,22.37,66242700,22.11
2014-03-06,22.20,22.32,22.19,22.27,43426400,22.01
2014-03-05,21.98,22.20,21.93,22.20,47684900,21.94
2014-03-04,21.78,21.97,21.74,21.97,49959600,21.71
2014-03-03,21.50,21.56,21.39,21.53,49625900,21.28
2014-02-28,21.60,21.82,21.56,21.70,56266500,21.45
2014-02-27,21.45,21.60,21.38,21.59,38758600,21.34
2014-02-26,21.56,21.58,21.37,21.48,42430300,21.23
2014-02-25,21.63,21.64,21.46,21.51,40114300,21.26
2014-02-24,21.49,21.75,21.48,21.64,42172400,21.39
2014-02-21,21.48,21.56,21.40,21.48,43136300,21.23
2014-02-20,21.40,21.49,21.28,21.44,31814800,21.19
2014-02-19,21.61,21.74,21.37,21.38,64101400,21.13
2014-02-18,21.66,21.72,21.58,21.68,21258200,21.43
2014-02-14,21.58,21.66,21.54,21.64,30398900,21.39
2014-02-13,21.34,21.62,21.34,21.61,32318000,21.36
