Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,41.69,41.69,40.97,41.05,8230700,41.05
2014-12-09,41.14,41.74,41.00,41.68,8221700,41.68
2014-12-08,42.04,42.11,41.51,41.69,6635600,41.69
2014-12-05,42.20,42.28,42.02,42.12,7173800,42.12
2014-12-04,42.14,42.30,42.01,42.17,3766800,42.17
2014-12-03,42.11,42.24,41.93,42.17,4260100,42.17
2014-12-02,41.99,42.09,41.85,42.02,5630600,42.02
2014-12-01,42.39,42.44,41.84,42.00,1607300,42.00
2014-11-28,42.37,42.58,42.29,42.49,5432500,42.49
2014-11-26,41.92,42.31,41.92,42.29,10240900,42.29
2014-11-25,41.95,42.08,41.88,41.91,4744600,41.91
2014-11-24,41.75,41.90,41.63,41.89,3113200,41.89
2014-11-21,41.94,41.96,41.50,41.67,6462800,41.67
2014-11-20,41.26,41.61,41.18,41.61,4896900,41.61
2014-11-19,41.68,41.68,41.21,41.40,7166700,41.40
2014-11-18,41.50,41.76,41.49,41.67,4829900,41.67
2014-11-17,41.49,41.59,41.33,41.53,4132700,41.53
2014-11-14,41.33,41.61,41.33,41.61,4343100,41.61
2014-11-13,41.20,41.46,41.13,41.32,5396100,41.32
2014-11-12,40.84,41.13,40.82,41.10,4516600,41.10
2014-11-11,40.98,40.99,40.80,40.97,3054300,40.97
2014-11-10,40.82,40.99,40.75,40.95,4820900,40.95
2014-11-07,40.83,40.88,40.64,40.84,7475700,40.84
2014-11-06,40.79,40.82,40.54,40.79,8589600,40.79
2014-11-05,40.95,40.97,40.63,40.81,7278100,40.81
2014-11-04,40.65,40.81,40.45,40.70,6433200,40.70
2014-11-03,40.59,40.78,40.53,40.71,9529800,40.71
2014-10-31,40.41,40.55,40.33,40.54,9962900,40.54
2014-10-30,39.76,39.99,39.59,39.92,9188200,39.92
2014-10-29,39.78,39.92,39.54,39.79,13176100,39.79
2014-10-28,39.40,39.85,39.40,39.83,7745400,39.83
2014-10-27,39.13,39.39,39.09,39.29,5943500,39.29
2014-10-24,39.08,39.28,38.86,39.25,6903200,39.25
2014-10-23,38.75,39.12,38.67,38.91,32216000,38.91
2014-10-22,38.79,38.88,38.45,38.48,12079200,38.48
2014-10-21,38.19,38.68,38.19,38.66,11572800,38.66
2014-10-20,37.44,37.94,37.25,37.92,9221400,37.92
2014-10-17,37.58,37.92,37.40,37.65,12785900,37.65
2014-10-16,36.80,37.46,36.70,37.21,27123100,37.21
2014-10-15,37.15,37.58,36.58,37.43,29067200,37.43
2014-10-14,37.94,38.12,37.59,37.69,21542100,37.69
2014-10-13,38.00,38.37,37.58,37.63,28603900,37.63
2014-10-10,38.79,38.99,38.05,38.05,30182600,38.05
2014-10-09,39.67,39.74,39.01,39.05,15300100,39.05
2014-10-08,39.02,39.78,38.75,39.71,8670600,39.71
2014-10-07,39.48,39.51,38.97,38.97,9006700,38.97
2014-10-06,39.78,39.85,39.49,39.59,6947800,39.59
2014-10-03,39.50,39.70,39.36,39.58,6705100,39.58
2014-10-02,39.30,39.40,38.86,39.26,13376800,39.26
2014-10-01,39.77,39.82,39.17,39.28,13059200,39.28
2014-09-30,39.85,40.08,39.74,39.90,6759900,39.90
2014-09-29,39.47,39.84,39.34,39.78,4826400,39.78
2014-09-26,39.43,39.87,39.43,39.79,4881500,39.79
2014-09-25,40.08,40.10,39.36,39.36,9351500,39.36
2014-09-24,39.99,40.25,39.81,40.24,7144500,40.24
2014-09-23,40.01,40.16,39.91,39.98,5968500,39.98
2014-09-22,40.35,40.35,39.96,40.07,6380400,40.07
2014-09-19,40.57,40.57,40.19,40.34,15726300,40.34
2014-09-18,40.44,40.62,40.44,40.60,7395300,40.43
2014-09-17,40.27,40.51,40.12,40.36,7654500,40.19
2014-09-16,39.86,40.33,39.79,40.28,11910600,40.11
2014-09-15,40.29,40.29,39.91,39.98,6882200,39.81
2014-09-12,40.36,40.38,40.09,40.22,5555700,40.05
2014-09-11,40.22,40.41,40.08,40.39,10322200,40.22
2014-09-10,40.07,40.35,39.96,40.30,7229800,40.13
2014-09-09,40.37,40.54,39.95,40.06,8562700,39.89
2014-09-08,40.27,40.45,40.18,40.35,6386100,40.18
2014-09-05,40.13,40.30,40.03,40.29,7025200,40.12
2014-09-04,40.15,40.34,39.93,40.05,5213200,39.88
2014-09-03,40.44,40.44,40.02,40.07,6891600,39.90
2014-09-02,40.37,40.37,40.17,40.29,5688800,40.12
2014-08-29,40.17,40.29,40.06,40.28,7684000,40.11
2014-08-28,40.02,40.16,39.95,40.10,3528300,39.93
2014-08-27,40.18,40.21,40.05,40.16,4330700,39.99
2014-08-26,40.21,40.22,40.12,40.17,3352300,40.00
2014-08-25,40.30,40.31,40.07,40.15,3430700,39.98
2014-08-22,40.13,40.19,40.02,40.11,4407700,39.94
2014-08-21,39.91,40.16,39.91,40.10,3454500,39.93
2014-08-20,39.85,39.98,39.82,39.91,7005300,39.74
2014-08-19,39.77,39.92,39.72,39.91,5047800,39.74
2014-08-18,39.56,39.68,39.45,39.66,4248000,39.49
2014-08-15,39.38,39.48,39.01,39.29,8910900,39.12
2014-08-14,39.25,39.29,39.12,39.29,4614600,39.12
2014-08-13,38.93,39.22,38.93,39.22,5492700,39.05
2014-08-12,38.82,38.94,38.65,38.84,6704900,38.67
2014-08-11,38.85,38.97,38.77,38.86,6507700,38.69
2014-08-08,38.40,38.70,38.28,38.67,6022800,38.50
2014-08-07,38.74,38.81,38.29,38.42,6865000,38.26
2014-08-06,38.44,38.77,38.39,38.58,9140900,38.41
2014-08-05,38.83,38.96,38.54,38.70,12293400,38.53
2014-08-04,38.91,39.17,38.71,39.07,6333700,38.90
2014-08-01,38.90,39.06,38.60,38.79,15507400,38.62
2014-07-31,39.50,39.54,38.94,39.00,17416500,38.83
2014-07-30,39.89,39.89,39.56,39.75,7762300,39.58
2014-07-29,40.08,40.08,39.69,39.71,7312400,39.54
2014-07-28,39.75,39.87,39.48,39.79,7762200,39.62
2014-07-25,39.65,39.77,39.53,39.72,4749500,39.55
2014-07-24,39.92,39.92,39.69,39.77,11659600,39.60
2014-07-23,39.82,39.91,39.65,39.80,5473400,39.63
2014-07-22,39.63,39.76,39.56,39.73,4789800,39.56
2014-07-21,39.43,39.51,39.24,39.40,6181600,39.23
