Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,48.59,48.73,48.08,48.13,5272500,48.13
2014-12-09,48.38,48.61,48.11,48.59,6120000,48.59
2014-12-08,48.80,49.01,48.62,48.75,4652800,48.75
2014-12-05,48.73,48.86,48.55,48.85,6731600,48.85
2014-12-04,48.81,48.87,48.54,48.76,5857400,48.76
2014-12-03,49.16,49.16,48.69,48.80,5909600,48.80
2014-12-02,48.96,49.19,48.93,49.15,6130900,49.15
2014-12-01,48.95,49.18,48.90,48.99,1034900,48.99
2014-11-28,48.83,49.42,48.80,49.30,4640900,49.30
2014-11-26,48.46,48.69,48.45,48.68,3644800,48.68
2014-11-25,48.42,48.58,48.34,48.46,6157500,48.46
2014-11-24,48.54,48.66,48.34,48.42,4912000,48.42
2014-11-21,48.65,48.74,48.36,48.45,5042200,48.45
2014-11-20,48.31,48.39,48.18,48.25,4076000,48.25
2014-11-19,48.24,48.51,48.18,48.46,4919500,48.46
2014-11-18,48.08,48.34,48.00,48.26,5015400,48.26
2014-11-17,47.68,48.08,47.68,48.08,4049600,48.08
2014-11-14,48.05,48.07,47.64,47.76,7544500,47.76
2014-11-13,47.90,48.26,47.86,48.03,7507100,48.03
2014-11-12,47.66,47.93,47.65,47.86,4919700,47.86
2014-11-11,47.93,48.00,47.76,47.86,3277700,47.86
2014-11-10,47.66,47.96,47.55,47.95,4201500,47.95
2014-11-07,47.50,47.74,47.32,47.74,5912000,47.74
2014-11-06,47.52,47.67,47.35,47.57,5638000,47.57
2014-11-05,47.41,47.67,47.24,47.47,7780400,47.47
2014-11-04,46.81,47.21,46.79,47.14,10508200,47.14
2014-11-03,46.64,46.92,46.64,46.89,15004900,46.89
2014-10-31,46.83,46.84,46.56,46.71,8184300,46.71
2014-10-30,46.17,46.52,45.88,46.41,5020200,46.41
2014-10-29,46.20,46.30,45.85,46.12,6381200,46.12
2014-10-28,46.22,46.22,46.00,46.20,5633500,46.20
2014-10-27,45.79,46.21,45.74,46.02,4917200,46.02
2014-10-24,45.69,45.95,45.62,45.91,9205600,45.91
2014-10-23,45.74,45.84,45.45,45.53,12604800,45.53
2014-10-22,45.49,45.87,45.41,45.56,10426900,45.56
2014-10-21,45.13,45.46,44.95,45.46,13863600,45.46
2014-10-20,44.55,45.31,44.51,45.27,17229300,45.27
2014-10-17,44.49,44.75,44.08,44.63,12534400,44.63
2014-10-16,43.83,44.32,43.69,44.09,19593400,44.09
2014-10-15,44.54,44.81,43.78,44.42,22241300,44.42
2014-10-14,45.12,45.21,44.85,44.96,12854000,44.96
2014-10-13,45.59,45.66,44.95,44.98,20244600,44.98
2014-10-10,45.43,46.08,45.43,45.61,11403400,45.61
2014-10-09,45.81,46.11,45.39,45.39,15077400,45.39
2014-10-08,45.26,45.87,45.20,45.85,9800300,45.85
2014-10-07,45.23,45.52,45.19,45.19,11318600,45.19
2014-10-06,45.56,45.56,45.16,45.46,6884100,45.46
2014-10-03,45.18,45.46,45.00,45.44,9134100,45.44
2014-10-02,44.80,45.02,44.70,44.91,16950100,44.91
2014-10-01,45.07,45.07,44.75,44.83,18044800,44.83
2014-09-30,45.11,45.22,44.95,45.11,7122400,45.11
2014-09-29,44.83,45.15,44.80,45.09,11255800,45.09
2014-09-26,45.03,45.19,44.77,45.10,3935200,45.10
2014-09-25,45.39,45.40,44.93,44.93,11438400,44.93
2014-09-24,44.94,45.55,44.94,45.53,14707300,45.53
2014-09-23,45.20,45.28,44.95,44.95,6715600,44.95
2014-09-22,45.40,45.47,45.28,45.35,6516500,45.35
2014-09-19,45.50,45.59,45.37,45.43,5411900,45.43
2014-09-18,45.58,45.65,45.49,45.60,6364600,45.31
2014-09-17,45.56,45.70,45.42,45.51,10476000,45.22
2014-09-16,45.20,45.73,45.16,45.61,8388400,45.32
2014-09-15,45.19,45.31,45.14,45.27,6105500,44.99
2014-09-12,45.31,45.34,44.96,45.05,5778400,44.77
2014-09-11,45.25,45.40,45.21,45.37,3924700,45.09
2014-09-10,45.18,45.40,45.11,45.35,4186400,45.07
2014-09-09,45.27,45.27,45.07,45.13,3452700,44.85
2014-09-08,45.43,45.52,45.22,45.24,4229500,44.96
2014-09-05,45.33,45.58,45.18,45.58,5067000,45.29
2014-09-04,45.25,45.44,45.19,45.32,4379600,45.04
2014-09-03,45.26,45.28,45.13,45.18,2391400,44.90
2014-09-02,45.18,45.35,45.01,45.15,11691900,44.87
2014-08-29,45.14,45.17,44.99,45.13,3076400,44.85
2014-08-28,44.96,45.11,44.92,45.10,2797700,44.82
2014-08-27,45.10,45.10,44.99,45.08,2054500,44.80
2014-08-26,45.12,45.19,45.03,45.06,1792300,44.78
2014-08-25,45.05,45.15,45.01,45.09,1985200,44.81
2014-08-22,45.00,45.07,44.84,44.84,5176500,44.56
2014-08-21,44.89,45.15,44.89,44.95,1724000,44.67
2014-08-20,44.79,44.92,44.74,44.87,5580000,44.59
2014-08-19,44.86,44.95,44.67,44.90,2627900,44.62
2014-08-18,44.63,44.82,44.58,44.78,4427600,44.50
2014-08-15,44.69,44.80,44.28,44.52,4542700,44.24
2014-08-14,44.43,44.47,44.23,44.46,2196100,44.18
2014-08-13,44.25,44.36,44.11,44.28,2704300,44.00
2014-08-12,44.16,44.23,44.04,44.15,3954200,43.87
2014-08-11,44.03,44.39,43.99,44.18,23734600,43.90
2014-08-08,43.47,43.91,43.43,43.87,5259400,43.59
2014-08-07,43.90,43.90,43.33,43.43,5532600,43.16
