Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,70.69,70.73,69.60,69.65,9007900,69.65
2014-12-09,70.22,70.81,69.81,70.74,9776100,70.74
2014-12-08,70.70,71.43,70.70,71.04,5932300,71.04
2014-12-05,70.28,70.85,70.21,70.79,8325100,70.79
2014-12-04,70.20,70.61,69.96,70.23,4197200,70.23
2014-12-03,70.37,70.43,70.05,70.32,6576900,70.32
2014-12-02,69.69,70.31,69.69,70.21,7438700,70.21
2014-12-01,69.30,69.94,69.27,69.45,1087200,69.45
2014-11-28,69.25,69.99,69.25,69.61,4395500,69.61
2014-11-26,68.99,69.21,68.72,69.18,5325800,69.18
2014-11-25,68.81,68.97,68.49,68.76,5510200,68.76
2014-11-24,68.59,68.68,68.45,68.67,5019700,68.67
2014-11-21,68.68,68.82,68.13,68.32,8098700,68.32
2014-11-20,67.99,68.27,67.78,68.00,9041600,68.00
2014-11-19,68.59,68.63,68.11,68.29,6253600,68.29
2014-11-18,67.63,68.72,67.57,68.67,8240100,68.67
2014-11-17,67.11,67.76,67.11,67.58,8587200,67.58
2014-11-14,67.79,67.79,66.98,67.25,6331800,67.25
2014-11-13,67.96,68.20,67.49,67.81,5216600,67.81
2014-11-12,67.70,67.97,67.59,67.86,3879900,67.86
2014-11-11,67.86,68.21,67.69,67.96,9777400,67.96
2014-11-10,67.18,67.74,66.92,67.71,5455300,67.71
2014-11-07,67.70,67.76,66.82,67.03,13895600,67.03
2014-11-06,67.38,67.85,67.38,67.70,7962400,67.70
2014-11-05,67.97,67.99,67.13,67.29,6592100,67.29
2014-11-04,67.33,67.54,66.95,67.36,5716000,67.36
2014-11-03,67.37,67.46,66.87,67.35,8680700,67.35
2014-10-31,67.86,67.99,67.05,67.27,11388000,67.27
2014-10-30,65.69,67.04,65.63,67.00,11630600,67.00
2014-10-29,65.74,65.97,65.35,65.79,10162400,65.79
2014-10-28,65.80,65.80,65.18,65.76,8770600,65.76
2014-10-27,65.22,65.35,64.99,65.28,9110800,65.28
2014-10-24,64.49,65.24,64.35,65.21,9703500,65.21
2014-10-23,63.73,64.66,63.73,64.31,11165000,64.31
2014-10-22,63.57,63.73,63.05,63.23,13813800,63.23
2014-10-21,62.43,63.59,62.37,63.55,14961400,63.55
2014-10-20,60.97,61.96,60.97,61.91,9848900,61.91
2014-10-17,60.79,61.56,60.65,61.17,15704700,61.17
2014-10-16,59.70,60.92,59.45,60.21,30185000,60.21
2014-10-15,60.33,60.79,59.21,60.52,32120100,60.52
2014-10-14,61.85,62.06,60.60,61.02,19321000,61.02
2014-10-13,63.00,63.03,61.41,61.48,17937500,61.48
2014-10-10,63.29,64.06,62.97,62.97,15606800,62.97
2014-10-09,64.60,64.67,63.32,63.36,15686000,63.36
2014-10-08,63.22,64.75,63.06,64.70,11412300,64.70
2014-10-07,63.98,64.01,63.09,63.09,11281800,63.09
2014-10-06,64.69,64.91,63.85,64.11,8287500,64.11
2014-10-03,63.64,64.49,63.60,64.41,11383100,64.41
2014-10-02,63.24,63.39,62.57,63.11,7225200,63.11
2014-10-01,64.10,64.10,63.03,63.24,11141700,63.24
2014-09-30,64.39,64.51,63.86,63.91,7580800,63.91
2014-09-29,63.86,64.48,63.81,64.26,10284100,64.26
2014-09-26,64.50,64.50,63.85,64.40,6513000,64.40
2014-09-25,65.19,65.21,64.20,64.20,11661500,64.20
2014-09-24,64.31,65.27,64.29,65.27,8120900,65.27
2014-09-23,63.93,64.43,63.83,64.15,7833900,64.15
2014-09-22,64.74,64.80,64.28,64.53,4005700,64.53
2014-09-19,65.16,65.31,64.79,64.88,6833500,64.88
2014-09-18,64.77,65.07,64.65,65.04,5460700,64.81
2014-09-17,64.47,64.81,64.09,64.56,6704300,64.33
2014-09-16,63.55,64.56,63.47,64.51,6907900,64.28
2014-09-15,63.81,63.88,63.42,63.64,6082500,63.41
2014-09-12,64.25,64.28,63.63,63.81,7340200,63.58
2014-09-11,64.21,64.37,63.96,64.28,6360300,64.05
2014-09-10,64.10,64.54,63.97,64.46,7039600,64.23
2014-09-09,64.27,64.29,63.85,64.01,6667300,63.78
2014-09-08,64.05,64.30,63.93,64.18,7204800,63.95
2014-09-05,63.82,64.18,63.15,64.17,6349400,63.94
2014-09-04,64.26,64.42,63.67,63.80,6231400,63.57
2014-09-03,64.23,64.41,63.97,64.12,5421900,63.89
2014-09-02,63.99,64.05,63.66,63.83,5076800,63.60
