Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,32.26,32.33,31.12,31.30,2377400,31.30
2014-12-09,31.23,32.52,31.00,32.34,3279000,32.34
2014-12-08,32.30,32.54,31.34,31.51,2597500,31.51
2014-12-05,32.38,32.97,32.29,32.54,1302300,32.54
2014-12-04,32.87,33.17,32.42,32.55,1468400,32.55
2014-12-03,32.75,33.51,32.47,33.08,2555400,33.08
2014-12-02,32.89,33.38,32.31,32.38,1855700,32.38
2014-12-01,33.69,33.69,32.65,32.96,257900,32.96
2014-11-28,35.09,35.09,33.57,33.89,2397400,33.89
2014-11-26,35.77,35.77,35.20,35.59,572600,35.59
2014-11-25,35.62,35.83,35.34,35.58,1068000,35.58
2014-11-24,35.75,35.97,35.32,35.53,1241300,35.53
2014-11-21,36.32,36.36,35.53,35.77,2858500,35.77
2014-11-20,33.97,35.26,33.97,35.17,1532900,35.17
2014-11-19,35.27,35.38,34.18,34.34,3304300,34.34
2014-11-18,35.77,35.91,35.46,35.64,755300,35.64
2014-11-17,35.29,35.78,34.93,35.61,1445600,35.61
2014-11-14,34.35,35.75,34.35,35.54,2566500,35.54
2014-11-13,35.21,35.50,34.43,34.63,1596700,34.63
2014-11-12,34.74,35.56,34.72,35.24,1514000,35.24
2014-11-11,35.02,35.23,34.69,35.04,1570200,35.04
2014-11-10,36.29,36.47,34.94,35.07,2721200,35.07
2014-11-07,34.80,36.24,34.67,36.13,3790600,36.13
2014-11-06,34.31,34.92,34.31,34.55,1468500,34.55
2014-11-05,34.64,35.04,34.26,34.64,1820100,34.64
2014-11-04,35.03,35.19,34.18,34.57,2174600,34.57
2014-11-03,35.23,35.86,34.90,35.29,1785900,35.29
2014-10-31,34.56,35.33,34.03,35.21,1916100,35.21
2014-10-30,34.57,34.95,34.31,34.57,1936000,34.57
2014-10-29,35.71,35.88,34.73,34.97,2161400,34.97
2014-10-28,34.37,35.46,34.09,35.37,3336800,35.37
2014-10-27,34.36,34.40,33.78,34.05,1556200,34.05
2014-10-24,34.56,34.87,34.34,34.77,1127800,34.77
2014-10-23,34.22,34.68,33.90,34.49,1705800,34.49
2014-10-22,34.62,35.04,33.89,33.93,3345800,33.93
2014-10-21,34.39,34.86,34.20,34.71,2779600,34.71
2014-10-20,33.60,34.18,33.57,33.91,3662900,33.91
2014-10-17,34.09,34.81,33.62,33.74,3246600,33.74
2014-10-16,32.07,34.35,32.07,33.93,5731500,33.93
2014-10-15,31.95,33.31,31.41,33.05,3935400,33.05
2014-10-14,32.12,33.34,31.90,32.44,4256300,32.44
2014-10-13,32.53,33.14,31.82,31.89,5689000,31.89
2014-10-10,32.94,33.35,32.13,32.20,4884500,32.20
2014-10-09,34.89,34.89,33.01,33.11,4999900,33.11
2014-10-08,34.27,35.02,33.14,34.96,3479100,34.96
2014-10-07,34.92,35.14,34.14,34.19,2914900,34.19
2014-10-06,35.41,35.60,34.75,35.10,4497700,35.10
2014-10-03,35.63,35.88,34.96,35.00,2952900,35.00
2014-10-02,35.86,35.98,34.94,35.78,2823400,35.78
2014-10-01,36.73,36.86,35.46,35.74,2953600,35.74
2014-09-30,36.89,37.32,36.59,36.79,2589700,36.79
2014-09-29,36.96,37.35,36.58,36.99,1897700,36.99
2014-09-26,37.47,37.58,37.19,37.35,1878100,37.35
2014-09-25,38.09,38.26,37.11,37.48,4113000,37.48
2014-09-24,39.00,39.02,38.26,38.35,2283900,38.35
2014-09-23,39.04,39.28,38.91,38.91,1591100,38.91
2014-09-22,40.23,40.23,38.72,38.85,3605300,38.85
2014-09-19,40.87,41.20,40.10,40.47,2503800,40.47
2014-09-18,41.79,41.79,41.08,41.19,2121000,41.02
2014-09-17,42.00,42.28,41.77,41.85,1905700,41.67
2014-09-16,40.81,41.63,40.63,41.43,2077900,41.25
2014-09-15,41.36,41.44,40.87,41.02,918200,40.85
2014-09-12,41.60,41.81,41.16,41.35,1057400,41.18
2014-09-11,40.99,41.78,40.99,41.73,974600,41.55
2014-09-10,41.62,41.62,41.10,41.39,1404100,41.22
2014-09-09,42.08,42.11,41.31,41.54,1461000,41.36
2014-09-08,42.64,42.64,41.92,42.04,1318800,41.86
2014-09-05,42.94,43.00,42.48,42.81,854900,42.63
2014-09-04,43.31,43.80,42.78,42.91,1549200,42.73
2014-09-03,43.75,43.75,43.07,43.11,475300,42.93
2014-09-02,43.97,43.97,43.17,43.27,738800,43.09
2014-08-29,43.32,43.82,43.21,43.76,1304500,43.58
2014-08-28,43.56,43.58,43.22,43.32,1203400,43.14
2014-08-27,43.90,44.05,43.70,43.77,448300,43.59
2014-08-26,43.12,44.05,43.12,43.87,1299700,43.68
2014-08-25,43.45,43.57,42.97,43.14,808100,42.96
2014-08-22,43.14,43.41,42.84,43.28,727100,43.10
2014-08-21,43.61,43.61,42.92,43.21,1015500,43.03
2014-08-20,43.74,43.81,43.46,43.66,911200,43.48
2014-08-19,43.86,44.20,43.78,43.82,1143800,43.63
2014-08-18,43.05,43.77,43.05,43.73,1670900,43.55
2014-08-15,43.36,43.46,42.71,43.01,1136400,42.83
2014-08-14,43.42,43.46,43.14,43.20,721400,43.02
2014-08-13,43.13,43.50,43.01,43.36,1306200,43.18
2014-08-12,43.32,43.47,42.79,43.00,1470500,42.82
2014-08-11,42.94,43.66,42.93,43.41,2582200,43.23
