Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,22.82,22.83,22.51,22.60,2780800,22.60
2014-12-09,22.78,22.94,22.75,22.92,2070000,22.92
2014-12-08,23.30,23.39,23.17,23.18,2384800,23.18
2014-12-05,23.32,23.37,23.24,23.33,1594600,23.33
2014-12-04,23.55,23.68,23.52,23.54,1449900,23.54
2014-12-03,23.52,23.59,23.46,23.48,2286600,23.48
2014-12-02,23.33,23.42,23.26,23.38,1535200,23.38
2014-12-01,23.11,23.28,23.00,23.28,388900,23.28
2014-11-28,23.67,23.74,23.57,23.63,1988900,23.63
2014-11-26,24.01,24.15,23.99,24.15,1302000,24.15
2014-11-25,23.82,23.91,23.82,23.89,1432600,23.89
2014-11-24,24.08,24.11,24.02,24.09,1475200,24.09
2014-11-21,24.34,24.39,24.21,24.25,1740700,24.25
2014-11-20,23.79,24.02,23.75,23.99,1146300,23.99
2014-11-19,24.24,24.27,24.06,24.09,4131700,24.09
2014-11-18,24.61,24.73,24.60,24.72,2645700,24.72
2014-11-17,24.64,24.73,24.61,24.70,981600,24.70
2014-11-14,24.68,25.01,24.67,24.98,788400,24.98
2014-11-13,24.87,24.93,24.73,24.78,1033900,24.78
2014-11-12,24.89,24.98,24.85,24.94,1599400,24.94
2014-11-11,24.96,25.14,24.92,25.06,1372200,25.06
2014-11-10,25.08,25.09,24.93,24.98,1967400,24.98
2014-11-07,24.89,25.05,24.89,24.98,3430400,24.98
2014-11-06,24.77,24.85,24.67,24.69,3279400,24.69
2014-11-05,24.75,24.81,24.63,24.79,1622000,24.79
2014-11-04,25.03,25.11,24.99,25.07,2676700,25.07
2014-11-03,25.05,25.07,24.86,24.93,2753500,24.93
2014-10-31,25.37,25.44,25.29,25.43,1797800,25.43
2014-10-30,25.11,25.36,25.08,25.30,2242400,25.30
2014-10-29,25.31,25.35,24.84,24.92,3419300,24.92
2014-10-28,25.22,25.60,25.19,25.36,2154200,25.36
2014-10-27,24.90,25.03,24.87,24.93,2256200,24.93
2014-10-24,24.87,24.94,24.82,24.90,1606600,24.90
2014-10-23,24.64,24.76,24.64,24.65,1184500,24.65
2014-10-22,24.58,24.71,24.47,24.52,2147400,24.52
2014-10-21,24.52,24.67,24.52,24.61,1356400,24.61
2014-10-20,24.19,24.49,24.18,24.45,1577600,24.45
2014-10-17,24.28,24.38,24.20,24.30,1421300,24.30
2014-10-16,23.64,24.19,23.62,23.97,3269700,23.97
2014-10-15,23.77,23.91,23.35,23.85,3604000,23.85
2014-10-14,23.62,23.75,23.47,23.51,2094900,23.51
2014-10-13,23.60,23.65,23.33,23.35,2038000,23.35
2014-10-10,23.40,23.50,23.17,23.18,2376400,23.18
2014-10-09,24.27,24.33,23.85,23.87,1955300,23.87
2014-10-08,23.85,24.33,23.72,24.31,1628000,24.31
2014-10-07,24.05,24.05,23.84,23.84,1722000,23.84
2014-10-06,24.02,24.22,23.95,24.14,1540100,24.14
2014-10-03,24.00,24.06,23.87,24.02,1366400,24.02
2014-10-02,24.08,24.15,23.83,24.08,2164300,24.08
2014-10-01,24.02,24.10,23.91,23.98,1935300,23.98
2014-09-30,23.87,24.00,23.80,23.94,1808000,23.94
2014-09-29,23.76,23.92,23.73,23.80,2493700,23.80
2014-09-26,24.14,24.23,24.09,24.20,1550700,24.20
2014-09-25,24.50,24.50,24.26,24.28,2118200,24.28
2014-09-24,24.79,24.96,24.71,24.95,1526700,24.95
2014-09-23,24.79,24.83,24.71,24.72,1696900,24.72
2014-09-22,24.75,24.76,24.58,24.70,2431600,24.70
2014-09-19,25.30,25.31,25.08,25.10,867800,25.10
2014-09-18,25.23,25.39,25.22,25.35,1093100,25.35
2014-09-17,25.41,25.43,25.07,25.17,2695000,25.17
2014-09-16,25.45,25.88,25.43,25.85,2122200,25.85
2014-09-15,25.69,25.69,25.57,25.66,1620500,25.66
2014-09-12,25.97,25.98,25.83,25.91,1534300,25.91
2014-09-11,26.16,26.25,26.12,26.19,2140600,26.19
2014-09-10,26.48,26.62,26.43,26.62,825600,26.62
2014-09-09,26.81,26.81,26.60,26.65,842300,26.65
2014-09-08,27.02,27.02,26.78,26.81,805300,26.81
2014-09-05,27.12,27.20,27.00,27.20,865100,27.20
2014-09-04,27.43,27.51,27.21,27.25,740400,27.25
2014-09-03,27.38,27.38,27.28,27.34,897100,27.34
2014-09-02,27.14,27.18,27.07,27.16,1951500,27.16
2014-08-29,27.13,27.20,27.10,27.16,1071700,27.16
2014-08-28,27.12,27.15,27.07,27.14,862300,27.14
2014-08-27,27.19,27.20,27.12,27.12,608100,27.12
2014-08-26,27.07,27.10,27.00,27.02,381900,27.02
2014-08-25,26.98,27.02,26.96,26.99,595500,26.99
2014-08-22,27.02,27.05,26.89,26.94,1781800,26.94
2014-08-21,26.99,27.07,26.97,27.05,791300,27.05
2014-08-20,26.99,27.16,26.97,27.07,1329800,27.07
2014-08-19,26.94,26.96,26.88,26.88,1707400,26.88
2014-08-18,26.76,26.88,26.76,26.85,994500,26.85
2014-08-15,26.66,26.71,26.49,26.67,850500,26.67
2014-08-14,26.57,26.66,26.54,26.63,727300,26.63
2014-08-13,26.42,26.48,26.40,26.42,818600,26.42
2014-08-12,26.21,26.30,26.20,26.24,889300,26.24
2014-08-11,25.98,26.04,25.91,26.02,1031200,26.02
2014-08-08,25.90,26.04,25.84,26.02,1154200,26.02
2014-08-07,26.20,26.24,26.00,26.08,1268500,26.08
2014-08-06,26.28,26.49,26.26,26.38,1306800,26.38
2014-08-05,26.34,26.38,26.16,26.24,1544100,26.24
2014-08-04,26.47,26.56,26.36,26.53,1840500,26.53
2014-08-01,26.43,26.58,26.34,26.42,2883000,26.42
2014-07-31,26.73,26.80,26.57,26.59,1835500,26.59
