Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,28.53,28.53,27.71,27.90,2142100,27.90
2014-12-09,28.30,28.70,28.27,28.66,1319300,28.66
2014-12-08,29.07,29.11,28.19,28.50,1436300,28.50
2014-12-05,29.37,29.46,29.19,29.28,1652800,29.28
2014-12-04,30.02,30.02,29.34,29.46,1572800,29.46
2014-12-03,29.75,30.10,29.70,30.03,1069000,30.03
2014-12-02,29.69,29.90,29.52,29.71,1313100,29.71
2014-12-01,29.84,30.02,29.61,29.85,348300,29.85
2014-11-28,30.25,30.25,29.88,29.94,1310400,29.94
2014-11-26,30.99,30.99,30.79,30.94,649600,30.94
2014-11-25,30.79,31.03,30.78,30.91,984500,30.91
2014-11-24,31.01,31.01,30.58,30.70,623200,30.70
2014-11-21,31.12,31.17,30.94,31.03,1105300,31.03
2014-11-20,30.41,30.75,30.35,30.73,1069100,30.73
2014-11-19,30.39,30.56,30.28,30.44,747700,30.44
2014-11-18,30.34,30.56,30.34,30.52,565600,30.52
2014-11-17,30.06,30.46,30.06,30.33,1018900,30.33
2014-11-14,30.00,30.33,29.97,30.32,662000,30.32
2014-11-13,30.25,30.33,29.90,30.00,1132500,30.00
2014-11-12,30.00,30.27,29.96,30.25,694400,30.25
2014-11-11,29.80,30.07,29.79,30.01,938300,30.01
2014-11-10,29.99,30.08,29.75,29.80,1309600,29.80
2014-11-07,29.57,29.86,29.56,29.85,1555400,29.85
2014-11-06,29.42,29.58,29.21,29.34,1107000,29.34
2014-11-05,29.13,29.54,29.09,29.43,2297500,29.43
2014-11-04,29.24,29.32,28.91,29.04,2269200,29.04
2014-11-03,29.95,29.95,29.42,29.46,6768300,29.46
2014-10-31,29.78,29.93,29.69,29.92,8738400,29.92
2014-10-30,29.89,29.98,29.66,29.76,828900,29.76
2014-10-29,30.30,30.36,29.73,29.88,1213500,29.88
2014-10-28,29.77,30.16,29.74,30.12,1278200,30.12
2014-10-27,29.53,29.71,29.44,29.63,2952500,29.63
