Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,28.40,28.41,28.11,28.12,10324600,28.12
2014-12-09,28.29,28.46,28.20,28.38,4041600,28.38
2014-12-08,28.60,28.68,28.50,28.55,2948300,28.55
2014-12-05,28.62,28.83,28.58,28.76,2814900,28.76
2014-12-04,28.53,28.63,28.35,28.50,2629800,28.50
2014-12-03,28.53,28.61,28.49,28.57,1807200,28.57
2014-12-02,28.67,28.70,28.56,28.68,1840100,28.68
2014-12-01,28.86,28.94,28.80,28.82,242600,28.82
2014-11-28,28.88,28.89,28.77,28.79,3671100,28.79
2014-11-26,28.71,28.91,28.70,28.90,4605000,28.90
2014-11-25,28.53,28.68,28.52,28.60,5813300,28.60
2014-11-24,28.32,28.38,28.23,28.37,3492100,28.37
2014-11-21,28.03,28.11,27.88,27.98,4613900,27.98
2014-11-20,27.46,27.71,27.44,27.67,2374300,27.67
2014-11-19,27.73,27.81,27.52,27.66,1947800,27.66
2014-11-18,27.47,27.68,27.44,27.65,3724400,27.65
2014-11-17,26.85,27.04,26.80,26.99,2437200,26.99
2014-11-14,26.70,26.99,26.68,26.92,6719900,26.92
2014-11-13,26.74,26.97,26.72,26.89,3748300,26.89
2014-11-12,26.70,26.83,26.66,26.75,3464600,26.75
2014-11-11,27.06,27.20,26.95,27.17,3687500,27.17
2014-11-10,27.01,27.04,26.88,27.00,1734200,27.00
2014-11-07,26.88,26.95,26.70,26.89,3548600,26.89
2014-11-06,27.15,27.29,26.91,27.05,4059600,27.05
2014-11-05,27.10,27.10,26.90,27.02,1574800,27.02
2014-11-04,26.92,26.96,26.74,26.88,2781100,26.88
2014-11-03,27.02,27.06,26.83,26.94,3994700,26.94
2014-10-31,27.06,27.25,27.01,27.23,5702300,27.23
2014-10-30,26.40,26.90,26.37,26.84,2929700,26.84
2014-10-29,27.04,27.12,26.56,26.69,6551100,26.69
2014-10-28,26.75,26.97,26.73,26.95,5760400,26.95
2014-10-27,26.17,26.48,26.07,26.34,3225400,26.34
2014-10-24,26.53,26.58,26.42,26.55,5575200,26.55
2014-10-23,26.41,26.67,26.37,26.55,6114900,26.55
2014-10-22,26.34,26.40,26.03,26.04,3530900,26.04
2014-10-21,26.19,26.47,26.18,26.44,4293900,26.44
2014-10-20,25.85,26.10,25.81,26.09,2189300,26.09
2014-10-17,26.02,26.27,25.93,26.16,4636200,26.16
2014-10-16,25.03,25.73,25.00,25.52,4772300,25.52
2014-10-15,25.66,25.75,25.19,25.70,6590700,25.70
2014-10-14,25.95,26.04,25.77,25.87,3905400,25.87
2014-10-13,26.04,26.13,25.72,25.73,3534500,25.73
2014-10-10,25.95,26.06,25.67,25.72,7429600,25.72
2014-10-09,26.77,26.83,26.17,26.25,4855600,26.25
2014-10-08,26.53,27.00,26.40,26.96,6029400,26.96
2014-10-07,26.78,26.82,26.50,26.51,3283100,26.51
2014-10-06,27.04,27.06,26.73,26.97,4593100,26.97
2014-10-03,26.89,27.07,26.87,27.03,6553900,27.03
2014-10-02,27.38,27.41,26.92,27.12,3453500,27.12
2014-10-01,27.56,27.57,27.27,27.36,3050400,27.36
2014-09-30,27.56,27.80,27.51,27.70,7717400,27.70
2014-09-29,27.65,27.78,27.62,27.76,3040400,27.76
2014-09-26,28.01,28.08,27.89,28.06,2914900,28.06
2014-09-25,28.44,28.44,27.98,28.02,3039200,28.02
2014-09-24,28.47,28.68,28.38,28.66,3439200,28.66
2014-09-23,28.71,28.85,28.52,28.57,4154800,28.57
2014-09-22,29.15,29.18,28.91,29.00,5329600,29.00
2014-09-19,29.28,29.29,29.10,29.11,1425900,29.11
2014-09-18,29.19,29.31,29.17,29.28,3686800,29.28
2014-09-17,29.09,29.21,28.86,28.92,2920500,28.92
2014-09-16,28.80,29.14,28.80,29.08,2186200,29.08
2014-09-15,28.99,29.05,28.94,28.99,1495300,28.99
2014-09-12,28.95,29.06,28.83,28.96,6412600,28.96
2014-09-11,28.95,29.09,28.93,29.06,3112000,29.06
2014-09-10,28.99,29.15,28.95,29.13,2768800,29.13
2014-09-09,29.05,29.15,29.00,29.11,5383600,29.11
2014-09-08,29.25,29.31,29.05,29.12,3498100,29.12
2014-09-05,29.34,29.42,29.23,29.39,2767200,29.39
2014-09-04,29.18,29.32,29.08,29.19,4264200,29.19
2014-09-03,29.42,29.44,29.28,29.36,5157300,29.36
2014-09-02,29.02,29.03,28.85,28.96,2618500,28.96
2014-08-29,28.94,28.95,28.71,28.92,2451500,28.92
2014-08-28,28.89,29.02,28.82,29.01,4813600,29.01
2014-08-27,29.39,29.40,29.24,29.30,2488700,29.30
2014-08-26,29.26,29.41,29.24,29.30,6742900,29.30
2014-08-25,28.96,29.19,28.94,29.11,4866100,29.11
2014-08-22,28.92,28.94,28.61,28.80,2882200,28.80
2014-08-21,28.89,29.04,28.87,28.98,6110900,28.98
2014-08-20,28.67,28.85,28.62,28.79,13086400,28.79
2014-08-19,28.96,28.97,28.89,28.95,7796000,28.95
2014-08-18,28.73,28.82,28.68,28.82,3776400,28.82
2014-08-15,29.00,29.03,28.23,28.52,18408200,28.52
2014-08-14,28.78,28.82,28.70,28.75,5478300,28.75
2014-08-13,28.57,28.68,28.48,28.60,4639100,28.60
2014-08-12,28.30,28.34,28.14,28.26,3994100,28.26
2014-08-11,28.54,28.65,28.50,28.55,9333400,28.55
2014-08-08,28.10,28.41,28.02,28.38,6220600,28.38
2014-08-07,28.41,28.45,27.91,28.00,7171800,28.00
2014-08-06,28.08,28.45,28.08,28.35,6265400,28.35
2014-08-05,28.60,28.62,28.24,28.30,4349200,28.30
2014-08-04,28.75,28.81,28.50,28.76,5711700,28.76
2014-08-01,28.80,29.00,28.58,28.67,5779400,28.67
2014-07-31,29.44,29.47,29.10,29.15,5496800,29.15
2014-07-30,29.99,30.04,29.73,29.86,2920900,29.86
2014-07-29,30.13,30.18,29.96,29.97,1513200,29.97
2014-07-28,30.06,30.07,29.76,30.02,3028400,30.02
2014-07-25,30.39,30.41,30.03,30.14,2250100,30.14
2014-07-24,30.62,30.66,30.52,30.57,3857000,30.57
2014-07-23,30.61,30.61,30.46,30.47,3681900,30.47
2014-07-22,30.40,30.46,30.36,30.39,3859500,30.39
2014-07-21,30.27,30.31,30.16,30.26,2357300,30.26
2014-07-18,30.41,30.64,30.39,30.59,2202700,30.59
