Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,13.79,13.85,13.61,13.63,1946000,13.63
2014-12-09,13.57,13.64,13.55,13.62,862800,13.62
2014-12-08,13.62,13.68,13.57,13.60,1080400,13.60
2014-12-05,13.77,13.77,13.63,13.68,1085700,13.68
2014-12-04,13.84,13.84,13.75,13.78,1425300,13.78
2014-12-03,13.95,13.99,13.91,13.96,1023800,13.96
2014-12-02,14.16,14.18,14.13,14.14,1398800,14.14
2014-12-01,14.19,14.21,14.12,14.17,356300,14.17
2014-11-28,14.71,14.71,14.57,14.59,1032800,14.59
2014-11-26,15.01,15.11,15.00,15.10,745000,15.10
2014-11-25,15.03,15.03,14.95,14.95,896600,14.95
2014-11-24,14.96,14.99,14.92,14.96,724000,14.96
2014-11-21,14.84,14.95,14.84,14.91,1858000,14.91
2014-11-20,14.75,14.77,14.73,14.76,890300,14.76
2014-11-19,14.81,14.86,14.76,14.80,665500,14.80
2014-11-18,14.76,14.84,14.76,14.84,747800,14.84
2014-11-17,14.71,14.71,14.67,14.71,344000,14.71
2014-11-14,14.74,14.80,14.69,14.79,533900,14.79
2014-11-13,14.88,14.91,14.80,14.85,638200,14.85
2014-11-12,14.89,14.94,14.85,14.86,1201200,14.86
2014-11-11,14.92,14.97,14.89,14.96,351100,14.96
2014-11-10,15.07,15.08,14.97,14.98,898200,14.98
2014-11-07,14.94,15.03,14.91,15.02,722200,15.02
2014-11-06,15.01,15.06,14.95,14.96,804200,14.96
2014-11-05,15.06,15.08,14.98,15.06,692600,15.06
2014-11-04,15.13,15.17,15.07,15.12,1418400,15.12
2014-11-03,15.35,15.35,15.21,15.23,1115600,15.23
2014-10-31,15.39,15.42,15.28,15.37,1769900,15.37
2014-10-30,15.32,15.45,15.30,15.41,938300,15.41
2014-10-29,15.43,15.45,15.26,15.30,1255800,15.30
2014-10-28,15.27,15.35,15.24,15.33,1423400,15.33
2014-10-27,15.17,15.24,15.15,15.23,2346800,15.23
2014-10-24,15.18,15.29,15.16,15.28,1171800,15.28
2014-10-23,15.11,15.20,15.11,15.16,4024900,15.16
2014-10-22,15.13,15.17,15.03,15.08,1250100,15.08
2014-10-21,15.07,15.16,15.05,15.13,705800,15.13
2014-10-20,14.94,15.10,14.94,15.09,1738100,15.09
2014-10-17,14.82,14.99,14.82,14.88,4790900,14.88
2014-10-16,14.47,14.76,14.45,14.65,2704000,14.65
2014-10-15,14.81,14.87,14.60,14.82,3496000,14.82
2014-10-14,15.04,15.10,14.95,15.00,2102000,15.00
2014-10-13,15.06,15.17,15.00,15.00,1873300,15.00
2014-10-10,15.13,15.17,15.01,15.03,2315700,15.03
2014-10-09,15.36,15.41,15.19,15.24,2597400,15.24
2014-10-08,15.18,15.43,15.12,15.40,2428700,15.40
2014-10-07,15.38,15.39,15.26,15.27,1049600,15.27
2014-10-06,15.57,15.57,15.43,15.43,2102700,15.43
2014-10-03,15.41,15.43,15.29,15.42,1153300,15.42
2014-10-02,15.45,15.56,15.33,15.47,3077100,15.47
2014-10-01,15.40,15.46,15.27,15.28,3557100,15.28
2014-09-30,15.30,15.44,15.30,15.40,3270600,15.40
2014-09-29,15.33,15.40,15.27,15.36,5907400,15.36
2014-09-26,15.45,15.49,15.36,15.37,1180400,15.37
2014-09-25,15.41,15.45,15.36,15.39,1348700,15.39
2014-09-24,15.47,15.59,15.41,15.55,1282800,15.55
2014-09-23,15.39,15.46,15.36,15.37,1499800,15.37
