Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,13.28,13.33,13.23,13.26,1306500,13.26
2014-12-09,13.14,13.21,13.12,13.17,1294200,13.17
2014-12-08,13.02,13.05,13.01,13.04,814500,13.04
2014-12-05,13.09,13.12,13.07,13.11,950100,13.11
2014-12-04,13.11,13.12,13.07,13.10,997800,13.10
2014-12-03,13.14,13.17,13.12,13.14,1088100,13.14
2014-12-02,13.21,13.23,13.17,13.19,927200,13.19
2014-12-01,13.18,13.19,13.11,13.14,223700,13.14
2014-11-28,13.20,13.45,13.20,13.41,544700,13.41
2014-11-26,13.44,13.50,13.44,13.48,932000,13.48
2014-11-25,13.45,13.46,13.43,13.43,633800,13.43
2014-11-24,13.37,13.39,13.35,13.39,604600,13.39
2014-11-21,13.49,13.50,13.44,13.49,782500,13.49
2014-11-20,13.27,13.32,13.26,13.30,527400,13.30
2014-11-19,13.31,13.39,13.29,13.34,549900,13.34
2014-11-18,13.33,13.39,13.33,13.36,471600,13.36
2014-11-17,13.23,13.27,13.23,13.27,457100,13.27
2014-11-14,13.30,13.38,13.29,13.37,524100,13.37
2014-11-13,13.34,13.38,13.32,13.33,395700,13.33
2014-11-12,13.24,13.27,13.22,13.26,374700,13.26
2014-11-11,13.29,13.32,13.24,13.32,416800,13.32
2014-11-10,13.39,13.40,13.34,13.36,492900,13.36
2014-11-07,13.24,13.34,13.24,13.34,711600,13.34
2014-11-06,13.25,13.30,13.23,13.24,504600,13.24
2014-11-05,13.19,13.27,13.15,13.24,756400,13.24
2014-11-04,13.20,13.27,13.20,13.26,574900,13.26
2014-11-03,13.29,13.34,13.26,13.27,1317600,13.27
2014-10-31,13.30,13.32,13.25,13.27,870900,13.27
2014-10-30,13.09,13.18,13.09,13.16,621800,13.16
2014-10-29,13.20,13.21,13.03,13.10,1138500,13.10
2014-10-28,13.12,13.20,13.09,13.19,1525700,13.19
2014-10-27,13.08,13.14,13.08,13.08,1165200,13.08
2014-10-24,13.12,13.17,13.11,13.17,607200,13.17
2014-10-23,13.21,13.23,13.16,13.17,848800,13.17
2014-10-22,13.17,13.20,13.11,13.12,1642600,13.12
2014-10-21,13.14,13.21,13.14,13.15,1614300,13.15
2014-10-20,12.98,13.06,12.97,13.02,1022700,13.02
2014-10-17,12.91,12.96,12.90,12.94,1103800,12.94
2014-10-16,12.76,12.95,12.74,12.87,1825700,12.87
2014-10-15,13.01,13.06,12.86,13.02,1268800,13.02
2014-10-14,13.07,13.11,13.00,13.02,670800,13.02
2014-10-13,13.12,13.14,13.02,13.02,1354800,13.02
2014-10-10,13.18,13.18,13.03,13.03,1216900,13.03
2014-10-09,13.34,13.36,13.23,13.27,1459700,13.27
2014-10-08,13.14,13.31,13.10,13.30,1437300,13.30
2014-10-07,13.20,13.22,13.15,13.16,1171000,13.16
2014-10-06,13.29,13.31,13.25,13.28,1355600,13.28
2014-10-03,13.27,13.28,13.22,13.23,1294100,13.23
2014-10-02,13.23,13.27,13.12,13.25,2057900,13.25
2014-10-01,13.29,13.32,13.24,13.26,1017400,13.26
2014-09-30,13.33,13.36,13.30,13.34,1014200,13.34
2014-09-29,13.46,13.48,13.41,13.41,1165100,13.41
2014-09-26,13.49,13.50,13.46,13.49,962900,13.49
2014-09-25,13.47,13.48,13.39,13.39,1077100,13.39
2014-09-24,13.57,13.60,13.54,13.59,639700,13.59
2014-09-23,13.48,13.53,13.48,13.51,732100,13.51
2014-09-22,13.55,13.55,13.43,13.45,1141900,13.45
2014-09-19,13.59,13.60,13.54,13.55,706700,13.55
2014-09-18,13.52,13.57,13.52,13.55,466600,13.55
2014-09-17,13.58,13.62,13.52,13.53,790500,13.53
