Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,59.95,60.05,58.06,58.28,4990800,58.28
2014-12-09,60.69,60.69,60.04,60.22,2972900,60.22
2014-12-08,61.40,61.63,60.71,60.97,3231400,60.97
2014-12-05,61.71,61.91,61.23,61.51,2447600,61.51
2014-12-04,62.40,62.51,61.81,61.96,3136200,61.96
2014-12-03,62.51,62.84,61.95,62.48,3614700,62.48
2014-12-02,63.63,63.71,62.29,62.52,3960000,62.52
2014-12-01,64.93,65.15,63.64,63.70,361300,63.70
2014-11-28,65.94,66.21,65.07,65.33,1805700,65.33
2014-11-26,66.44,66.63,66.36,66.58,1006600,66.58
2014-11-25,67.06,67.18,66.55,66.60,1512000,66.60
2014-11-24,67.14,67.39,66.80,66.89,1047100,66.89
2014-11-21,67.20,67.57,67.09,67.25,2085700,67.25
2014-11-20,66.28,66.48,66.10,66.32,1131500,66.32
2014-11-19,65.45,66.50,65.37,66.41,2237000,66.41
2014-11-18,66.04,66.04,65.57,65.71,1678700,65.71
2014-11-17,65.46,66.02,65.34,65.89,1376400,65.89
2014-11-14,65.66,65.96,65.55,65.74,1119600,65.74
2014-11-13,66.05,66.09,65.47,65.84,2052400,65.84
2014-11-12,66.55,66.76,65.78,66.03,1367000,66.03
2014-11-11,66.74,67.05,66.51,66.63,1284100,66.63
2014-11-10,67.64,67.68,66.79,66.93,1512300,66.93
2014-11-07,67.50,67.72,67.26,67.52,1863800,67.52
2014-11-06,67.85,68.11,67.11,67.26,1537500,67.26
2014-11-05,67.60,67.96,67.40,67.84,1220700,67.84
2014-11-04,67.84,67.90,67.58,67.81,1515200,67.81
2014-11-03,68.30,68.47,67.80,67.95,1845100,67.95
2014-10-31,68.41,68.73,68.17,68.45,4672800,68.45
2014-10-30,67.52,68.14,67.29,68.11,1407100,68.11
2014-10-29,67.57,67.83,66.95,67.41,2047800,67.41
2014-10-28,66.92,67.50,66.70,67.40,2267400,67.40
2014-10-27,65.74,66.47,65.63,66.42,1617200,66.42
2014-10-24,66.21,66.64,66.00,66.29,1401100,66.29
2014-10-23,66.19,66.69,65.98,66.33,1775300,66.33
2014-10-22,66.16,66.36,65.83,65.88,2113100,65.88
2014-10-21,65.93,66.63,65.67,66.16,1825800,66.16
2014-10-20,65.61,65.90,65.40,65.66,1304100,65.66
2014-10-17,65.60,66.11,65.55,65.70,2368900,65.70
2014-10-16,63.82,65.59,63.66,65.07,3240800,65.07
2014-10-15,65.29,65.87,64.02,65.11,4484500,65.11
2014-10-14,66.19,66.54,66.00,66.07,2172500,66.07
2014-10-13,66.55,66.98,65.90,66.00,3289200,66.00
2014-10-10,67.35,67.35,66.23,66.32,2721600,66.32
2014-10-09,68.26,68.51,67.36,67.53,2479600,67.53
2014-10-08,67.80,68.76,67.17,68.46,3036700,68.46
2014-10-07,68.35,68.57,67.68,67.74,2010000,67.74
2014-10-06,68.73,69.35,68.52,68.60,2401700,68.60
2014-10-03,67.75,67.91,67.22,67.78,2328300,67.78
2014-10-02,67.63,68.15,67.16,67.87,3526900,67.87
2014-10-01,68.38,68.60,67.55,67.63,2616100,67.63
2014-09-30,68.13,68.73,68.02,68.73,2574800,68.73
2014-09-29,67.28,68.19,67.15,68.13,1782400,68.13
2014-09-26,68.44,68.53,68.12,68.41,2060500,68.41
2014-09-25,69.18,69.30,68.38,68.65,2003600,68.65
2014-09-24,69.41,69.81,69.25,69.68,1826400,69.68
2014-09-23,69.67,69.87,68.95,69.23,2035800,69.23
2014-09-22,70.53,70.76,69.51,69.85,3206700,69.85
2014-09-19,71.66,71.74,70.70,71.00,2567400,71.00
2014-09-18,71.44,71.46,71.15,71.37,714200,71.37
2014-09-17,71.78,71.78,71.04,71.27,1504100,71.27
2014-09-16,70.87,72.06,70.65,71.50,1822800,71.50
2014-09-15,70.89,71.29,70.71,70.91,1230000,70.91
2014-09-12,70.47,71.02,70.20,70.86,4552400,70.86
2014-09-11,70.98,71.37,70.79,70.84,1715000,70.84
2014-09-10,71.17,71.47,70.95,71.30,1286200,71.30
2014-09-09,71.99,72.34,71.35,71.48,3521900,71.48
2014-09-08,72.70,73.11,72.46,72.59,1646300,72.59
2014-09-05,72.52,73.01,72.50,73.00,2079400,73.00
2014-09-04,72.42,72.52,72.11,72.39,1191000,72.39
2014-09-03,72.20,72.20,71.85,72.10,1442900,72.10
2014-09-02,71.40,71.64,71.10,71.63,1930500,71.63
2014-08-29,71.67,71.93,71.44,71.78,1838700,71.78
2014-08-28,71.22,71.62,71.22,71.61,1012500,71.61
2014-08-27,71.76,71.86,71.48,71.68,900100,71.68
2014-08-26,71.75,71.88,71.41,71.51,1499800,71.51
2014-08-25,71.46,71.62,71.26,71.41,928100,71.41
2014-08-22,71.56,71.61,71.00,71.23,2156100,71.23
2014-08-21,71.44,71.65,71.26,71.60,1933700,71.60
2014-08-20,71.00,71.31,70.80,71.15,1027800,71.15
2014-08-19,71.29,71.39,70.99,71.32,1365300,71.32
2014-08-18,70.89,71.18,70.77,71.13,1233700,71.13
2014-08-15,71.08,71.12,70.18,70.53,1583200,70.53
2014-08-14,70.89,71.11,70.68,70.76,1185600,70.76
2014-08-13,70.73,71.00,70.47,70.59,1827800,70.59
2014-08-12,69.94,70.54,69.91,70.33,1439900,70.33
2014-08-11,69.28,70.15,69.23,70.11,3079100,70.11
2014-08-08,68.78,68.96,68.53,68.86,1874800,68.86
2014-08-07,69.37,69.44,68.35,68.59,2202500,68.59
2014-08-06,68.82,69.31,68.76,69.25,2083100,69.25
2014-08-05,69.12,69.53,68.79,69.15,2420800,69.15
