Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,56.46,56.46,55.88,56.13,3901100,56.13
2014-12-09,56.76,57.04,56.70,57.00,3868400,57.00
2014-12-08,56.70,56.80,56.58,56.62,2205400,56.62
2014-12-05,57.08,57.08,56.50,56.59,2561500,56.59
2014-12-04,56.97,57.18,56.85,56.92,2050000,56.92
2014-12-03,56.42,56.49,56.32,56.34,2022800,56.34
2014-12-02,56.48,56.48,56.28,56.36,1833900,56.36
2014-12-01,56.63,56.63,56.35,56.46,368500,56.46
2014-11-28,57.35,57.35,56.78,56.88,2132200,56.88
2014-11-26,57.20,57.54,57.20,57.52,2264900,57.52
2014-11-25,56.87,56.98,56.72,56.74,1693700,56.74
2014-11-24,56.87,56.88,56.56,56.83,1644400,56.83
2014-11-21,56.71,56.81,56.43,56.79,3321400,56.79
2014-11-20,55.97,56.12,55.90,56.00,1741400,56.00
2014-11-19,56.30,56.30,55.90,56.14,2419200,56.14
2014-11-18,57.12,57.17,56.97,56.98,1137400,56.98
2014-11-17,56.78,56.78,56.48,56.54,1554800,56.54
2014-11-14,56.07,56.63,56.05,56.60,2576600,56.60
2014-11-13,57.24,57.29,56.92,57.06,1664400,57.06
2014-11-12,57.14,57.53,57.14,57.26,3084400,57.26
2014-11-11,57.20,57.20,56.98,57.06,2167800,57.06
2014-11-10,57.76,57.81,57.53,57.53,1417600,57.53
2014-11-07,56.87,57.08,56.74,57.04,1695300,57.04
2014-11-06,57.03,57.30,56.65,56.71,3195700,56.71
2014-11-05,56.69,56.69,56.20,56.47,4831400,56.47
2014-11-04,57.35,57.40,57.14,57.38,1432500,57.38
2014-11-03,57.94,58.00,57.43,57.65,3887100,57.65
2014-10-31,58.68,58.81,58.48,58.63,4894500,58.63
2014-10-30,58.98,59.40,58.93,59.37,2426300,59.37
2014-10-29,59.42,59.66,58.84,59.02,3868900,59.02
2014-10-28,58.10,58.49,58.10,58.44,2324000,58.44
2014-10-27,57.69,57.92,57.65,57.89,1949000,57.89
2014-10-24,57.48,57.71,57.43,57.58,3458400,57.58
2014-10-23,57.68,57.85,57.59,57.63,1838800,57.63
2014-10-22,57.75,57.79,57.46,57.55,1403200,57.55
2014-10-21,57.58,57.85,57.49,57.79,2106000,57.79
2014-10-20,57.37,57.65,57.20,57.59,1850000,57.59
2014-10-17,56.97,57.04,56.52,56.80,2524900,56.80
2014-10-16,56.58,57.24,56.15,56.88,4637000,56.88
2014-10-15,57.07,57.24,56.31,57.08,4727100,57.08
2014-10-14,57.30,57.44,56.98,57.16,2922600,57.16
2014-10-13,57.54,57.70,56.96,56.98,2774400,56.98
2014-10-10,56.92,57.05,56.43,56.47,5386100,56.47
2014-10-09,58.45,58.50,57.23,57.61,3442300,57.61
2014-10-08,57.85,58.64,57.53,58.56,3209800,58.56
2014-10-07,58.55,58.55,58.19,58.24,1601000,58.24
2014-10-06,58.68,58.85,58.59,58.77,1904500,58.77
2014-10-03,58.61,58.99,58.15,58.86,3438600,58.86
2014-10-02,58.65,59.00,58.33,58.71,4036300,58.71
2014-10-01,59.69,59.86,58.92,58.93,5137000,58.93
2014-09-30,60.73,60.81,60.46,60.51,4036100,60.51
2014-09-29,60.86,61.14,60.81,61.07,1564000,61.07
2014-09-26,61.88,61.98,61.66,61.86,1787900,61.86
2014-09-25,62.12,62.13,61.62,61.73,2329600,61.73
2014-09-24,62.48,62.94,62.34,62.87,2077300,62.87
2014-09-23,62.21,62.49,62.15,62.21,1865900,62.21
2014-09-22,62.60,62.72,62.17,62.40,2469800,62.40
2014-09-19,63.63,63.70,63.30,63.42,2831800,63.42
2014-09-18,63.55,63.60,63.47,63.55,1381200,63.55
2014-09-17,64.27,64.67,64.04,64.08,2023900,64.08
2014-09-16,63.51,64.41,63.51,64.20,2664300,64.20
2014-09-15,63.62,63.64,63.37,63.47,1209600,63.47
2014-09-12,63.81,63.94,63.57,63.72,3600200,63.72
2014-09-11,63.50,63.68,63.46,63.60,1778800,63.60
2014-09-10,63.43,64.00,63.16,63.86,2341100,63.86
2014-09-09,64.17,64.17,63.30,63.60,3095400,63.60
2014-09-08,64.80,64.98,64.10,64.39,2992200,64.39
2014-09-05,64.89,65.14,64.75,65.08,3481200,65.08
2014-09-04,65.39,65.59,65.15,65.22,1180400,65.22
2014-09-03,65.48,65.61,65.24,65.24,1605100,65.24
2014-09-02,65.45,65.58,65.31,65.40,2192400,65.40
2014-08-29,66.48,66.55,66.32,66.40,1470000,66.40
2014-08-28,66.20,66.68,66.20,66.66,2552300,66.66
2014-08-27,66.61,66.74,66.46,66.68,1523300,66.68
2014-08-26,66.26,66.70,66.26,66.67,2433300,66.67
2014-08-25,65.96,66.10,65.93,66.02,1136600,66.02
2014-08-22,65.74,65.85,65.48,65.79,1411500,65.79
2014-08-21,65.46,65.48,65.33,65.43,1725300,65.43
2014-08-20,66.32,66.46,66.17,66.31,2138000,66.31
2014-08-19,66.57,66.83,66.57,66.77,1382900,66.77
2014-08-18,66.14,66.47,66.09,66.40,1940800,66.40
2014-08-15,66.70,66.97,66.04,66.31,2436300,66.31
2014-08-14,66.51,66.54,66.42,66.51,1061400,66.51
2014-08-13,65.92,66.01,65.75,65.93,1830600,65.93
