Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,104.29,104.29,102.78,102.88,2477300,102.88
2014-12-09,103.66,104.66,103.45,104.61,1962900,104.61
2014-12-08,105.08,105.40,104.35,104.66,1656900,104.66
2014-12-05,105.16,105.58,105.07,105.34,2246000,105.34
2014-12-04,105.03,105.29,104.48,105.02,1280500,105.02
2014-12-03,104.70,105.35,104.70,105.21,2265700,105.21
2014-12-02,103.95,104.85,103.89,104.70,1343800,104.70
2014-12-01,103.98,104.18,103.61,103.95,166500,103.95
2014-11-28,104.68,104.81,104.26,104.45,861800,104.45
2014-11-26,104.90,105.02,104.71,105.00,1454700,105.00
2014-11-25,105.12,105.12,104.57,104.82,1852800,104.82
2014-11-24,105.06,105.16,104.76,104.95,1671400,104.95
2014-11-21,105.20,105.32,104.48,104.80,1667400,104.80
2014-11-20,103.52,104.28,103.52,104.28,1355300,104.28
2014-11-19,104.04,104.17,103.56,103.99,1870000,103.99
2014-11-18,103.71,104.40,103.69,104.15,1538600,104.15
2014-11-17,103.20,103.74,103.14,103.64,1536700,103.64
2014-11-14,103.41,103.62,103.23,103.43,792800,103.43
2014-11-13,103.56,103.76,102.95,103.37,1644100,103.37
2014-11-12,103.21,103.54,103.17,103.45,1314400,103.45
2014-11-11,103.67,103.76,103.50,103.67,1775300,103.67
2014-11-10,103.37,103.61,103.22,103.60,2443100,103.60
2014-11-07,103.19,103.46,102.95,103.32,1186400,103.32
2014-11-06,102.68,103.19,102.35,103.15,2873800,103.15
2014-11-05,102.59,102.83,102.28,102.82,1755700,102.82
2014-11-04,102.09,102.20,101.48,102.01,1954300,102.01
2014-11-03,102.30,102.69,102.06,102.27,1950900,102.27
2014-10-31,102.25,102.33,101.68,102.20,5087100,102.20
2014-10-30,100.34,101.36,98.10,101.14,2482300,101.14
2014-10-29,100.76,101.11,99.88,100.62,2803000,100.62
2014-10-28,99.90,100.63,99.76,100.58,1721800,100.58
2014-10-27,99.20,99.65,98.90,99.51,1668700,99.51
2014-10-24,99.12,99.74,98.74,99.70,2350300,99.70
2014-10-23,98.85,99.59,98.67,98.93,2243100,98.93
2014-10-22,98.80,99.09,97.94,97.96,2003600,97.96
2014-10-21,97.23,98.67,97.23,98.55,2433200,98.55
2014-10-20,95.84,96.74,95.68,96.71,2361300,96.71
2014-10-17,95.90,96.53,95.44,95.93,1896400,95.93
2014-10-16,93.17,95.44,93.07,94.82,3072400,94.82
2014-10-15,94.30,94.96,92.46,94.63,3688500,94.63
2014-10-14,95.72,96.63,95.17,95.54,3128100,95.54
2014-10-13,96.77,97.08,95.26,95.30,3216400,95.30
2014-10-10,97.72,98.14,96.65,96.65,3120800,96.65
2014-10-09,99.60,99.72,97.63,97.68,3393400,97.68
2014-10-08,98.37,99.92,97.75,99.80,2347700,99.80
2014-10-07,99.39,99.54,98.22,98.24,2487500,98.24
2014-10-06,100.50,100.51,99.49,99.79,3284500,99.79
