Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,95.82,95.92,94.38,94.50,2208000,94.50
2014-12-09,95.05,96.12,94.71,96.05,2717500,96.05
2014-12-08,96.62,96.89,95.71,96.05,2084500,96.05
2014-12-05,96.93,97.01,96.62,96.82,3108900,96.82
2014-12-04,96.56,97.03,96.36,96.75,1883400,96.75
2014-12-03,96.58,96.88,96.34,96.77,3671000,96.77
2014-12-02,96.02,96.50,95.97,96.37,2072800,96.37
2014-12-01,96.68,96.69,95.92,95.98,442800,95.98
2014-11-28,97.04,97.30,96.92,97.05,743800,97.05
2014-11-26,96.66,97.06,96.66,96.99,1249300,96.99
2014-11-25,96.81,97.06,96.58,96.71,1843200,96.71
2014-11-24,96.54,96.74,96.40,96.73,1244000,96.73
2014-11-21,96.66,96.83,95.94,96.23,2322000,96.23
2014-11-20,95.17,95.87,95.13,95.74,1387700,95.74
2014-11-19,95.64,95.70,95.10,95.53,1458000,95.53
2014-11-18,95.15,95.90,95.12,95.69,1813100,95.69
2014-11-17,94.97,95.39,94.85,95.09,1401600,95.09
2014-11-14,95.21,95.31,94.90,95.24,3291900,95.24
2014-11-13,95.15,95.52,94.74,95.19,1172300,95.19
2014-11-12,94.60,95.18,94.60,95.06,1343200,95.06
2014-11-11,94.88,94.97,94.63,94.92,1689200,94.92
2014-11-10,94.69,94.89,94.41,94.82,1170700,94.82
2014-11-07,94.49,94.62,94.09,94.52,2168400,94.52
2014-11-06,94.08,94.53,93.82,94.50,1291600,94.50
2014-11-05,94.39,94.39,93.69,93.94,1788300,93.94
2014-11-04,93.85,94.00,93.22,93.71,1517300,93.71
2014-11-03,94.14,94.46,93.94,94.12,1541500,94.12
2014-10-31,94.02,94.20,93.71,93.96,3930100,93.96
2014-10-30,92.08,93.20,91.22,92.96,1800200,92.96
2014-10-29,92.51,92.76,91.70,92.32,1591600,92.32
2014-10-28,91.74,92.57,91.69,92.57,1991300,92.57
2014-10-27,91.22,91.53,90.83,91.42,1344900,91.42
