Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,17.59,17.62,17.13,17.17,9595000,17.17
2014-12-09,17.40,17.57,17.28,17.56,8821100,17.56
2014-12-08,17.87,18.57,17.53,17.57,17540900,17.57
2014-12-05,18.42,18.63,18.15,18.58,8590900,18.58
2014-12-04,18.89,19.01,18.65,18.66,9692500,18.66
2014-12-03,19.00,19.40,18.98,19.17,9246500,19.17
2014-12-02,19.14,19.22,18.68,18.80,15565600,18.80
2014-12-01,19.55,19.73,19.17,19.61,1641000,19.61
2014-11-28,20.00,20.04,19.55,19.56,15431400,19.56
2014-11-26,20.82,20.95,20.67,20.70,6402600,20.70
2014-11-25,21.32,21.42,20.89,20.91,10056200,20.91
2014-11-24,21.57,21.61,21.45,21.47,5378500,21.47
2014-11-21,21.40,21.43,21.13,21.42,11231100,21.42
2014-11-20,20.90,21.11,20.86,21.03,6134200,21.03
2014-11-19,20.75,20.96,20.62,20.81,4568800,20.81
2014-11-18,20.78,20.89,20.72,20.78,5314300,20.78
2014-11-17,20.55,20.75,20.42,20.58,5002500,20.58
2014-11-14,20.40,20.69,20.34,20.67,6038000,20.67
2014-11-13,20.85,20.85,20.37,20.39,16719300,20.39
2014-11-12,20.92,21.24,20.91,21.14,6702500,21.14
2014-11-11,21.06,21.07,20.80,20.98,3366800,20.98
2014-11-10,21.28,21.37,21.09,21.12,6273200,21.12
2014-11-07,20.48,20.84,20.48,20.80,7750100,20.80
2014-11-06,21.12,21.15,20.45,20.53,11397800,20.53
2014-11-05,21.49,21.53,21.27,21.42,4074200,21.42
2014-11-04,21.61,21.70,21.37,21.48,5491000,21.48
2014-11-03,22.03,22.07,21.60,21.60,7059000,21.60
2014-10-31,22.11,22.17,21.88,21.97,8115400,21.97
2014-10-30,21.97,22.56,21.91,22.22,13427100,22.22
2014-10-29,21.53,21.66,21.32,21.36,7647500,21.36
2014-10-28,21.29,21.55,21.27,21.55,6330500,21.55
2014-10-27,20.96,21.23,20.90,21.18,8684600,21.18
2014-10-24,21.04,21.45,20.91,21.43,9102100,21.43
2014-10-23,21.07,21.21,20.94,20.97,8340500,20.97
2014-10-22,21.35,21.37,20.97,21.07,9568600,21.07
2014-10-21,21.50,21.59,21.45,21.56,5449900,21.56
2014-10-20,21.32,21.40,21.22,21.34,7877400,21.34
2014-10-17,21.47,22.03,21.40,21.60,24516700,21.60
2014-10-16,20.97,21.41,20.89,21.12,12691500,21.12
2014-10-15,21.40,21.59,20.98,21.53,14754400,21.53
2014-10-14,21.65,21.78,21.31,21.42,8555400,21.42
2014-10-13,21.68,21.82,21.39,21.45,10039100,21.45
2014-10-10,21.41,21.54,21.26,21.26,11033400,21.26
2014-10-09,22.00,22.01,21.58,21.60,11033400,21.60
2014-10-08,21.93,22.21,21.58,22.19,9928000,22.19
2014-10-07,22.33,22.35,21.96,21.96,8776400,21.96
2014-10-06,22.50,22.61,22.37,22.56,9019700,22.56
2014-10-03,21.99,22.21,21.92,22.14,5797000,22.14
2014-10-02,21.90,22.16,21.69,22.09,11208500,22.09
2014-10-01,22.42,22.45,21.94,21.97,9981500,21.97
2014-09-30,22.52,22.66,22.33,22.37,10191600,22.37
2014-09-29,22.74,22.81,22.57,22.62,8833700,22.62
2014-09-26,23.12,23.48,23.09,23.33,7507200,23.33
2014-09-25,23.80,23.80,23.36,23.37,7863100,23.37
2014-09-24,23.80,24.03,23.75,23.98,8833900,23.98
2014-09-23,23.24,23.57,23.20,23.44,11697600,23.44
2014-09-22,23.34,23.35,23.05,23.10,7693500,23.10
2014-09-19,23.84,23.89,23.46,23.55,6636400,23.55
2014-09-18,23.92,23.95,23.54,23.67,8084700,23.67
2014-09-17,23.98,24.15,23.84,23.89,9206900,23.89
2014-09-16,24.20,24.81,24.17,24.48,8765700,24.48
2014-09-15,24.19,24.29,24.04,24.11,7806800,24.11
2014-09-12,24.50,24.61,24.33,24.57,6971500,24.57
2014-09-11,24.45,24.56,24.32,24.44,6741100,24.44
2014-09-10,24.88,25.11,24.71,25.07,5287300,25.07
2014-09-09,25.04,25.05,24.70,24.76,5173100,24.76
2014-09-08,25.00,25.31,24.90,25.04,9004400,25.04
2014-09-05,25.29,25.38,25.00,25.34,9116900,25.34
2014-09-04,24.94,25.00,24.62,24.66,5766000,24.66
2014-09-03,24.79,25.02,24.75,25.02,15871100,25.02
2014-09-02,23.54,23.71,23.52,23.59,6809200,23.59
2014-08-29,23.99,24.01,23.76,23.88,7195100,23.88
2014-08-28,24.30,24.45,24.25,24.34,8675400,24.34
2014-08-27,25.27,25.29,25.07,25.12,3804800,25.12
2014-08-26,25.15,25.33,25.05,25.25,5350600,25.25
2014-08-25,25.11,25.41,25.10,25.40,4436400,25.40
2014-08-22,25.17,25.20,24.86,24.91,7283600,24.91
2014-08-21,25.36,25.52,25.34,25.45,4531100,25.45
2014-08-20,25.09,25.27,25.04,25.14,3362500,25.14
2014-08-19,25.02,25.25,25.02,25.23,4012100,25.23
2014-08-18,24.80,24.99,24.75,24.97,6600100,24.97
2014-08-15,24.79,24.92,24.09,24.41,15141200,24.41
2014-08-14,24.63,24.72,24.55,24.62,5246800,24.62
2014-08-13,24.39,24.53,24.32,24.44,7806000,24.44
2014-08-12,23.99,24.14,23.92,24.02,5986200,24.02
2014-08-11,23.93,24.16,23.92,24.13,9932200,24.13
2014-08-08,23.39,23.88,23.28,23.79,11772100,23.79
2014-08-07,23.18,23.26,23.02,23.21,8962700,23.21
2014-08-06,23.28,23.42,23.00,23.05,10057500,23.05
2014-08-05,23.76,23.86,23.47,23.51,10410500,23.51
2014-08-04,24.00,24.34,23.99,24.33,4480100,24.33
2014-08-01,23.88,24.10,23.77,24.07,6206600,24.07
2014-07-31,24.29,24.30,23.93,24.03,6740800,24.03
2014-07-30,24.49,24.54,24.14,24.46,9603400,24.46
2014-07-29,24.27,24.54,23.84,23.85,11113300,23.85
2014-07-28,24.13,24.40,24.08,24.35,6507400,24.35
2014-07-25,24.84,24.84,24.48,24.63,7872100,24.63
2014-07-24,25.01,25.44,24.97,25.03,6107000,25.03
2014-07-23,25.10,25.18,24.91,24.93,3855400,24.93
2014-07-22,25.11,25.21,25.00,25.06,5406000,25.06
2014-07-21,24.73,24.81,24.42,24.75,9014500,24.75
2014-07-18,25.07,25.32,25.01,25.30,11837400,25.30
2014-07-17,25.52,25.64,24.66,24.70,25613100,24.70
2014-07-16,26.34,26.66,26.34,26.62,2829200,26.62
2014-07-15,26.58,26.64,26.28,26.34,6405200,26.34
2014-07-14,26.63,26.65,26.49,26.59,2788400,26.59
2014-07-11,26.70,26.82,26.65,26.79,2137900,26.79
2014-07-10,26.54,26.89,26.44,26.73,5237300,26.73
2014-07-09,26.97,27.23,26.90,27.21,3771500,27.21
2014-07-08,27.11,27.13,26.65,26.75,4762500,26.75
2014-07-07,26.78,26.99,26.77,26.97,2053800,26.97
2014-07-03,26.83,27.00,26.79,27.00,1431800,27.00
2014-07-02,26.80,26.98,26.73,26.94,4463800,26.94
2014-07-01,26.40,26.52,26.33,26.40,3228800,26.40
2014-06-30,26.43,26.45,26.29,26.33,3075200,26.33
2014-06-27,26.56,26.77,26.56,26.76,2083900,26.76
2014-06-26,26.65,26.71,26.45,26.61,3173200,26.61
2014-06-25,26.78,26.91,26.60,26.83,5114600,26.83
2014-06-24,27.03,27.46,27.01,27.06,8619100,27.06
2014-06-23,26.44,26.73,26.34,26.66,4529400,26.66
2014-06-20,26.56,26.60,26.28,26.47,3286400,26.47
2014-06-19,26.81,26.90,26.47,26.56,4467000,26.56
2014-06-18,26.37,26.88,26.33,26.88,6613500,26.88
2014-06-17,26.08,26.22,26.00,26.19,3171600,26.19
2014-06-16,26.29,26.35,26.09,26.15,3958700,26.15
2014-06-13,26.32,26.49,26.18,26.48,4109000,26.48
2014-06-12,26.60,26.66,26.16,26.29,7680200,26.29
2014-06-11,26.50,26.73,26.42,26.66,3725800,26.66
2014-06-10,26.40,26.71,26.33,26.50,3068100,26.50
2014-06-09,26.47,26.55,26.30,26.46,4680400,26.46
2014-06-06,26.20,26.40,26.17,26.36,6553600,26.36
2014-06-05,25.88,26.04,25.68,25.88,5004200,25.88
2014-06-04,25.70,25.76,25.57,25.66,3063400,25.66
2014-06-03,25.36,25.73,25.32,25.60,5661000,25.60
2014-06-02,25.55,25.59,24.76,25.32,8574400,25.32
2014-05-30,25.33,25.35,24.93,25.10,5625100,25.10
