Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,22.69,22.69,22.43,22.47,4756100,22.47
2014-12-09,22.55,22.56,22.43,22.47,5662600,22.47
2014-12-08,22.95,23.18,22.83,22.92,7196900,22.92
2014-12-05,23.20,23.35,23.19,23.29,4054000,23.29
2014-12-04,23.42,23.47,23.33,23.39,2420700,23.39
2014-12-03,23.38,23.48,23.37,23.46,3578500,23.46
2014-12-02,23.21,23.27,23.18,23.24,4355300,23.24
2014-12-01,23.30,23.30,23.02,23.04,657600,23.04
2014-11-28,23.36,23.36,23.23,23.23,3563000,23.23
2014-11-26,23.18,23.26,23.15,23.22,3561200,23.22
2014-11-25,23.22,23.22,22.95,23.00,6444300,23.00
2014-11-24,23.38,23.38,23.28,23.30,2912500,23.30
2014-11-21,23.43,23.57,23.33,23.55,7507100,23.55
2014-11-20,23.01,23.14,23.01,23.06,2926100,23.06
2014-11-19,23.09,23.14,22.95,23.12,3486900,23.12
2014-11-18,23.29,23.40,23.29,23.37,1944600,23.37
2014-11-17,23.25,23.33,23.23,23.24,2707500,23.24
2014-11-14,23.12,23.24,23.06,23.21,2884700,23.21
2014-11-13,23.12,23.14,23.00,23.04,4294200,23.04
2014-11-12,23.22,23.30,23.18,23.23,2906000,23.23
2014-11-11,23.15,23.26,23.14,23.16,2400700,23.16
2014-11-10,23.17,23.18,23.09,23.12,1968200,23.12
2014-11-07,23.19,23.24,23.11,23.21,3172800,23.21
2014-11-06,23.21,23.29,23.14,23.17,3503800,23.17
2014-11-05,23.19,23.26,23.08,23.22,3073800,23.22
2014-11-04,23.27,23.31,23.16,23.29,6854900,23.29
2014-11-03,23.27,23.30,23.18,23.19,3939200,23.19
2014-10-31,23.14,23.27,23.09,23.21,5611500,23.21
2014-10-30,22.59,22.85,22.59,22.84,4202400,22.84
2014-10-29,22.60,22.66,22.28,22.46,4997100,22.46
2014-10-28,22.33,22.58,22.31,22.55,3798400,22.55
2014-10-27,22.20,22.26,22.14,22.21,4520100,22.21
2014-10-24,22.40,22.52,22.35,22.52,3084000,22.52
2014-10-23,22.33,22.45,22.28,22.32,3185800,22.32
2014-10-22,22.28,22.33,22.16,22.19,2872900,22.19
2014-10-21,22.20,22.40,22.17,22.31,4668000,22.31
2014-10-20,21.84,22.08,21.82,22.05,4161500,22.05
2014-10-17,21.52,21.82,21.49,21.72,4052700,21.72
2014-10-16,21.25,21.65,21.12,21.53,9865400,21.53
2014-10-15,21.86,22.10,21.51,21.98,10715700,21.98
2014-10-14,21.98,22.11,21.88,21.98,4808300,21.98
2014-10-13,22.07,22.29,21.87,21.93,6544100,21.93
