Date,Open,High,Low,Close,Volume,Adj Close
2014-12-10,17.50,17.50,17.50,17.50,000,17.50
2014-12-09,17.50,17.50,17.50,17.50,000,17.50
2014-12-08,17.50,17.50,17.50,17.50,000,17.50
2014-12-05,17.54,17.54,17.50,17.50,300,17.50
2014-12-04,17.15,17.15,17.15,17.15,000,17.15
2014-12-03,17.15,17.15,17.15,17.15,000,17.15
2014-12-02,17.15,17.15,17.15,17.15,000,17.15
2014-12-01,17.15,17.15,17.15,17.15,000,17.15
2014-11-28,17.15,17.15,17.15,17.15,000,17.15
2014-11-26,17.15,17.15,17.15,17.15,500,17.15
2014-11-25,17.25,17.25,17.25,17.25,000,17.25
2014-11-24,17.25,17.25,17.25,17.25,000,17.17
2014-11-21,17.25,17.25,17.25,17.25,000,17.17
2014-11-20,17.25,17.25,17.25,17.25,800,17.17
2014-11-19,17.05,17.05,17.05,17.05,000,16.97
2014-11-18,17.05,17.05,17.05,17.05,000,16.97
2014-11-17,17.05,17.05,17.05,17.05,000,16.97
2014-11-14,17.05,17.05,17.05,17.05,300,16.97
2014-11-13,17.00,17.00,17.00,17.00,000,16.92
2014-11-12,17.00,17.00,17.00,17.00,000,16.92
2014-11-11,17.00,17.00,17.00,17.00,000,16.92
2014-11-10,17.00,17.00,17.00,17.00,000,16.92
2014-11-07,17.00,17.00,17.00,17.00,600,16.92
2014-11-06,17.00,17.00,17.00,17.00,000,16.92
2014-11-05,17.00,17.00,17.00,17.00,100,16.92
2014-11-04,17.00,17.00,17.00,17.00,000,16.92
2014-11-03,17.00,17.00,17.00,17.00,200,16.92
2014-10-31,16.70,16.70,16.70,16.70,000,16.62
2014-10-30,16.70,16.70,16.70,16.70,000,16.62
2014-10-29,16.19,16.70,16.19,16.70,24700,16.62
2014-10-28,15.75,16.00,15.75,16.00,1400,15.93
2014-10-27,15.50,15.50,15.50,15.50,000,15.43
2014-10-24,15.50,15.50,15.50,15.50,200,15.43
2014-10-23,15.75,15.75,15.75,15.75,000,15.68
2014-10-22,15.75,15.75,15.75,15.75,100,15.68
2014-10-21,15.75,15.75,15.75,15.75,100,15.68
2014-10-20,15.65,15.65,15.65,15.65,000,15.58
2014-10-17,15.65,15.65,15.65,15.65,000,15.58
2014-10-16,15.65,15.65,15.65,15.65,000,15.58
2014-10-15,15.50,15.65,15.50,15.65,1100,15.58
2014-10-14,15.65,15.65,15.50,15.50,800,15.43
2014-10-13,15.65,15.65,15.65,15.65,100,15.58
2014-10-10,15.50,15.50,15.50,15.50,000,15.43
2014-10-09,15.50,15.50,15.50,15.50,000,15.43
2014-10-08,15.50,15.50,15.50,15.50,000,15.43
2014-10-07,15.50,15.50,15.50,15.50,300,15.43
2014-10-06,15.61,15.61,15.61,15.61,000,15.54
2014-10-03,15.61,15.61,15.61,15.61,1000,15.54
2014-10-02,15.85,15.85,15.85,15.85,000,15.78
2014-10-01,15.85,15.85,15.85,15.85,300,15.78
2014-09-30,15.50,15.50,15.50,15.50,7200,15.43
2014-09-29,15.85,15.85,15.85,15.85,300,15.78
2014-09-26,15.50,15.50,15.50,15.50,000,15.43
2014-09-25,15.50,15.50,15.50,15.50,1000,15.43
2014-09-24,15.45,15.59,15.45,15.59,1000,15.52
2014-09-23,15.45,15.45,15.45,15.45,000,15.38
2014-09-22,15.45,15.45,15.45,15.45,000,15.38
2014-09-19,15.45,15.45,15.45,15.45,000,15.38
2014-09-18,15.45,15.45,15.45,15.45,000,15.38
2014-09-17,15.45,15.45,15.45,15.45,700,15.38
2014-09-16,16.00,16.00,16.00,16.00,000,15.93
2014-09-15,16.00,16.00,16.00,16.00,000,15.93
2014-09-12,16.00,16.00,16.00,16.00,000,15.93
2014-09-11,16.00,16.00,16.00,16.00,000,15.93
2014-09-10,16.00,16.00,16.00,16.00,000,15.93
